lyrics,artist
"**   he's too straight and you can wait Modern man I've only got time for a few, and not you Modern man I'll push you hard, I can't know you Modern man 'cause then we'd have to be friends, and that just won't do Modern man, modern man*	  living tomorrow is everyone's sorrow Modern man's daydreams have turned into nightmaresIt's for you that I sing to share what I feel Modern man The things I need in this world Modern man If you don't like it, you can leave me alone Modern man, modern man 'cause when I talk to you I want to hang up the phone Modern man, modern man***",black flag
Had money in my pocket But he had a gun How was I to know That I was a lucky one? You got me through this time But my time will come When things get wild I'll get out from underneath the gunYou're retired at 21 Your mind is gone Your race is run You're retired at 21 You side with the law And the man with the gunLookin? for a thrill But it just ain't that easy 'cause when you move in for the kill Got to get sleazy The bait'll come off the wild(? ) Before we crawl all over you We've both got power And at(? ) you'll don't know what I'll doMoney money money ?ll buy you food into my brain But your heart can't even breathe 'cause your soul's already claimed Collecting a scrapbook Proud of what you've done No more pushing Retired at 21You're retired at 21 Your mind is gone Your race is run You're retired at 21 You side with the law And the man with the gunCrapshoot crapshoot Don't know what you'll find there Don't want no one To catch you in a dare Your life story is complete The clock has got you beat You look at life Then you turn and retreatYou're retired at 21 Your mind is gone Your race is run You're retired at 21 You side with the law And the man with the gun,black flag
I wear rat's shoes I pay rat's dues I make rat's moves I sing rat's bluesI see the world through Rat's eyes [4x] Burning Rat's eyes [4x] Sullen Rat's eyes [4x] Dirty Rat's eyes [4x]If you look through rat's eyes You can talk about shit real good You will be always looking at shit You are verminI see the world through Rat's eyes [4x] Burning Rat's eyes [4x] Sullen Rat's eyes [4x] Dirty Rat's eyes [4x]I see the world through Rat's eyes [4x] Burning Rat's eyes [4x] Sullen Rat's eyes [4x] Dirty Rat's eyes [4x]I want you to touch my filth I want you to feel my filth I want you to look into my eyes I want you to look through my eyesI see the world through Rat's eyes [4x] Burning Rat's eyes [4x] Sullen Rat's eyes [4x] Dirty Rat's eyes [4x],black flag
It's not my imagination I've got a gun on my back!Promises you made Never become factWe're gonna get revenge You won't know what hit you We're tired of being screwedDon't tell me about tomorrow Don't tell me what I'll get I can't think of progress when Just around the corner There's a bed of cold pavement Waiting for meRevenge! I'll watch you bleed Revenge! That's all I'll needI won't cry if you- die! DIE! We're gonna get revenge You won't know what hit you We're tired of being screwedRevenge! REVENGE!!!,black flag
"(yeah...!) Spinning down the drain again Walls closing in again Curling up inside again No way in out up down or otherwise againI can't move I can't speak I can't shake these troubles off of me I can't move I can't speak And I can't shake these troubles off of meTracking (? )in wrapped up again Shadows Inward, turning inward again Paralyzed and going blind againI can't move I can't speak And I can't shake these troubles off of me I can't move I can't speak And I can't shake these troubles off of meI can't move and I can't speak and I can't shake these troubles off of me I can't move I can't speak And I can't shake these troubles off of meWound up so tight again My soul seeps out it's pores Paralyzed and going blind Paralyzed and going blind againI can't move I can't speak And I can't shake these troubles off of me I can't move I can't speak And I can't shake these feelings off of me(yeah...!)",black flag
"I was so wasted I was a hippie I was a burnout I was a dropout I was out of my head I was a surfer I had a skateboard I was so heavy man, I lived on the strand I was so wasted I was so fucked up I was so messed up I was so screwed up I was out of my head I was so jacked up I was so drunk up I was so knocked out, I was out of my head I was so wasted I was wasted.",black flag
"This fucking city Is run by pigs They take the rights away From all the kidsUnderstand We're fighting a war we can't win They hate us-we hate them We can't win-no wayWalk down the street I flip them off They hit me across the head With a billy clubUnderstand We're fighting a war We can't win They hate us-we hate them We can't win-no wayNothing I do, nothing I say I tell them to go get fucked They put me awayUnderstand We're fighting a war We can't win They hate us-we hate them We can't win-no wayI go to court, For my crime, Stand in line pay bail, I may serve time Understand We're fighting a war We can't win They hate us-we hate them We can't win-no way",black flag
Jealous cowards try to control rise above we're gonna rise above they distort what we say rise above we're gonna rise above try and stop what we do rise above we're gonna rise above when they cant do it them selves rise above we're gonna rise aboveChorus: we are tired of tour abuse try to stop us but its no usesocietys arm's out of control rise above we're gonna rise above think there smart cant think for themselves rise above we're gonna rise above laugh at us behind our backs rise above we're gonna rise above i find satisfaction in what they lack rise above we're gonna rise aboveChoruswe were born with a chance rise above we're gonna rise above i am gonna have my chance rise above we're gonna rise above we were born with a chance rise above we're gonna rise above i am gonna have my chance rise above we're gonna rise abovechorus(guitar solo)chorusrise above we're gonna rise above we're gonna rise above we're gonna rise above we're gonna rise above.,black flag
"Keep me alive Only you can do it If not you'll die too And I'll see to itIt's hard to survive Don't know if I can do itKeep me alive I can't accept my fate I need help Before it's too lateIt's hard to survive, don't know if I can do it I need to belong, I need to hang on I need, needKeep me alive feelings I must obey Can't turn my eyes from the past This crisis is the lastKeep me alive I rely on your judgement I've got none left of my own Don't know what I'm doingIt's hard to survive, don't know if I can do it I need to belong, I need to hang on I need, needKeep me alive Only you can do it Keep me alive Only you can do itIt's hard to survive, don't know if I can do itKeep me alive Keep me alive Keep me alive Keep me aliveIt's hard to survive, don't know if I can do it I need to belong, I need to hang on I need, need",black flag
"Earth's a padded cell Defanged and declawed I'm living in hell it's a paradise fraud Straight jacket minds in line to be old Telling me to want, Let time slip through my teeth Well I'm not the fool, I'm going to town Manic reactions are always a buzz I'm suspect, the stranger in disguise It's forced itself upon me, Something I can't hideSee it in - maniacs Their eyes - maniacs Maniacs, maniacsLooking at you inside of you Behind your eyes, through your mind Looking at you, inside of you I'm invisible, nowhere to hide I'm obscene the living dead See the flys feed off your head Looking at you I'm inside of you It's walden two but the flower's deadSee it in - maniacs Their eyes - maniacs Maniacs, maniacsEarth's a padded cell Defanged and declawed I'm living in hell it's a paradise fraud Straight jacket minds in line to be old Telling me to want, Let time slip through my teeth Well I'm not the fool, I'm going to town Manic reactions are always a buzz I'm suspect, the stranger in disguise It's forced itself upon me, Something I can't hideSee it in - maniacs Their eyes - maniacs Maniacs, maniacs",black flag
I'm out of this world And I'm never comin? back Ever since that day by the side of the road I got a smile on my face and i'm Never coming to Never coming to Never coming toI'm leaving today and I'm never coming back Killed by a girl by the side of the roadI'm out cold and I'm never coming to I'm out cold and I'm never coming..I love I love I love I love I love I love I never love I never love I never never never never What I mean to say What I tried to say Is that I never never got my wayI'm out of this world And I'm never comin? back Ever since that day by the side of the road I got a smile on my face and i'm Never coming to Never coming to Never coming toI'm out of this world And I'm never comin? back Ever since that day by the side of the road I got a smile on my face and i'm Never coming to Never coming to Never coming toLucifer got a hold of me (? ) Said (? ) gonna set you freeI'm out cold and I'm never coming to I'm out cold and I'm never coming..Now I'm lookin? for the sun Lookin? for the sun Hope the (? ) dried in the sun lookin? for the sun Someone took me for a joyride Led me straight into a ditchI'm out of this world And I'm never comin? back Ever since that day by the side of the road I got a smile on my face and i'm Never coming to Never coming to Never coming to(? ) double time working machine I had a big bad plan it was a real cool dream I'm out cold and I'm never coming to I'm out cold and I'm never coming..(? )suckin? on a little red rock By the side of the road (? ) up in a puddle of blood (? ) save my soulI'm out cold and I'm never coming to I'm out cold and I'm never coming.. I'm out cold and I'm never coming to I'm out cold and I'm never coming to,black flag
"No, I won't believe that this is all I'm not happy, I'm not free Pay check to pay check, Living for what Every night I get drunk to ger sunkI need action, won't take no more, No more, no more, no more It won't work, won't work No moreI knew what I had when I grew up I know that it really sucked Now I'm a slave to the same lies If I don't get out I'm gonna die I need action, won't take no more, No more, no more, no more It won't work, won't work No moreControl, control for who, For what? I'm no robot, they can get fucked Reaction's masochism this can't last I need to live, I need it nowI need action, won't take no more, No more, no more, no more It won't work, won't work No more",black flag
"She's black, everything I need, everything I have She's black, everything I need, everything I have She's black, my love is true, so true to you She's black, everything I love, she's everything I have*       She's black Everything I see Take me back She's blackShe's black, I've been had, everything I hate She's black, it's out of my hands, everything I hate She's black, my love is true, my love so true to you Now she's black every night and day, and I love you*Now she's black, your baby's been had Now she's black, your boy's been had, Black! Now she's black, your silly boy's been used up Now your baby's all used up, little boy blackI'm black, let me in! I'm black Black, dying at your door, take me back! Black! Let me rot at your feet, let me in! Black! Black! Black!**",black flag
"Nothing Nothing Nothing left insideLove Love Nothing left insidePain in my heart Pain hurts my heart Nothing left insideLies Your lies Nothing left insideI built it up I broke it down Nothing left insideLeach Drained me dry Nothing left insideLonely, lonely, lonely Lonely, lonely boy Nothing left insideI want to see you I want to see you I want you to see my eyes Nothing left insideNothing left inside",black flag
"its 3:29 AM I look out my window at the hot crowded street above I notice i feel cold and alone used up like an old bottle no deposit, no return people live and die in these apartment compartments no deposit, no return dust falls silently why cant i? no deposit, no return",black flag
"Hey friend, what happened to you?...(?)You let me down You let me down You let me down You let me downHow could you do that?...(?) You let me down You let me down You let me down You let me down(blah blah) You let me down You let me down You let me down You let me down(blah blah) You let me down You let me down You let me down You let me down(blah blah) You let me down You let me down You let me down You let me down",black flag
I don't care what you think I don't care what you say I've got nothing to give you Why don't you just go awayI've got no values Nothing to say I've got no values Might as well blow you awayYou're just a hole in the corner Always loaded to the hilt I could try some satisfaction I could destroy everything you buildI've got no values Nothing to say I've got no values Might as well blow you awayDon't you try classification When you know it won't work What if I try some annihilation Throw your face in the dirtI've got no values Nothing to say I've got no values Might as well blow you awayDon't you try pretendin? Telling me it's all right I might start destroyin? Everything in my sight! No values No values No values,black flag
Spoken: You don't have anything personal against me do you? You bet I've got something personal against you!We know You stole our song You were there Every touch in wrong(?) You were there Fuckin' wrote it all down You invent Everything you've doneNow you bet that I've got something personal against you!You deny All the sleaze and graffiti You inflect You look from our path(?) It's minus and you're impossible laps(?) We know What you've been lyin' aboutNow you bet that I've got something personal against you!You deny Sitting at the corner You die(?) But the love of your own(?) You've got Nowhere to go but down,black flag
I walk by your house To see if you were at home It was my only chance I felt so alone It always seems I get so wound up To feel so let downI get so wound up I feel so let down I get so wound up I feel so let down I get so wound up I feel so let down I get so wound upDon't you ever see the way I look at you? Could you understand why I feel the way I do?I have a lot to show you Feel I have something to prove There's things I'd like to tell you My brain is slow to move I wish you'd give me a second So I could make you see That no one in the world could look at you And see the things I seeI get so wound up I feel so let down I get so wound up I feel so let down I get so wound up I feel so let down I get so wound upDon't you ever see the way I look at you? Could you understand why I feel the way I do?I have strong emotions I keep them to myself I know I can write them I know I can sing them That's what I'll have to do Because in my heart Deep in my heart I keep a picture of youI get so wound up I feel so let down I get so wound up I feel so let down I get so wound up I feel so let down I get so wound up,black flag
"Gunna be a white minority marvelously the majority gunna feel inferiority guunna be, white minorityWHITE PRIDE, your an american why can i hide, when and where i canGunna be a white minority dont beleive theres a possibility well, we'll just wait and see gunna be, white minorityWHITE PRIDE,your an american why can i hide, when and where i canGunna be a white minority theres gunna be, large casualties were the damn majoritywell, gunna die",black flag
this feeling haunts me behind these eyes the shell seems so empty does anything live inside?i want to live i wish i was deadmy heart aches to believe im cheated by what i see freedom holds a double edge for me i look in your eyes and seei want to live i wish i was deadi dont even want to think im stuck here and i know it i dont want to see make me close my eyesi want to live i wish i was deadi look in your eyes and see its always this way live the tlive and take a dive just to make it dieive just got to close my eyes ive got to close my eyes ive got to close my eyes,black flag
"Tonight I sit right down in my room Going over it and over it again and again Something's got a hold of me And I just can't seem to shake myself looseLet me go Let me go I'm surely breaking upTonight I'm gonna make that body pay Tonight I'm gonna make that body scream Tonight I'm gonna drop to my kneesI want to make you fell like you make me feel I want to make you fell like you make me feel I want to make you fell like you make me feelThere's a lover in my heart Killer in my hands Whiskey on my breathSomeone handed me a ladder And for the longest time I've been climbin? - to the bottom of it Someone reached out and gave me their hand And for the longest time I've been trying to dislodge my teeth from itMy life is a piece of a shit that got caught in my show And I've been grinding that stink into the dirt For a long time now, now, nowI want to make you fell like you make me feel I want to make you fell like you make me feel I want to make you fell like you make me feelI think you stuck my friends with knives Dragged him out so he could die One in his heart and three in each side - knivesGo ahead Go ahead Go ahead and stick me Stick me.",black flag
Love me So I can feel the pain Of not having made a mistake Love me So I can crawl into your oven And begin to bake Love me (? ) burns I'm alive Love me Until I hateWhite hot White hot White hotLove me (? ) me My life collision course Love me Consume my life force Love me So I don't enter that cave (? ) shelter finding I'm cold Love me So I can tear you apartWhite hot White hot White hotLove me As I (? ) Pleasure makes me go Love me So I can feel my heart (? ) (? ) of Love me So I can fall apart The ending I already know Love me (? ) vicious accidents (? ) whiteWhite hot White hot White hot,black flag
"Swinging man I'm hanging around Hangin? ?round I'm the swinging man and my feet Never touch the ground Swinging man Swinging man I swing back and forth Back and forth Back and forth Back and forth I was looking for a little warmth But I didn't find nuthin? So now I'm hanging around Swinging man Feeling no pain No pain No pain No pain All the girls know my name I go by; swinging man Swinging man I tell you what - you get yourself together And you go downtown, you come on home And I'll still be hangin? around Because I'm the swinging man And my feet never touch the ground Now if you love me, you'll cut me down But if not, I'll still be hangin? around Cuz I'm the swinging man and my feet Never touch the ground I'm the swinging man.",black flag
You know you are the crazy girl You know your pants are on fire You're in heat You feel like you've(? ) just a little higherMy target Is your eyes My target Is...your...eyesMy target Is your eyes My target Is...your...eyesYour body has been given up To any young man who can afford to pay But your eyes have never seen the view Of the virgin tears you'll cry todayMy target Is your eyes My target Is...your...eyesMy target Is your eyes My target Is...your...eyesMy target Is your eyes My target Is...your...eyesMy target Is your eyes My target Is...your...eyesWhen you (? ) And you know you are troubled I'd like to make you let me heal you A scream for every virgin tearMy target Is your eyes My target Is...your...eyesMy target Is your eyes My target Is...your...eyes,black flag
"I smash fists Into my face I feel itThis is good This is good This is good This is goodI punch the wall With my fists I feel itThis is good This is good This is good This is goodI hate to want, you make me want I hate to want, you make me want I hate to want, you make me want To hurt you",black flag
Thirsty and miserable You drop to the floor You drink ?til you can't Even see any moreThirsty and miserable Always wanting more Thirsty and miserable Always wanting moreMy brother wants a ride To the liquor store You pity him For what he wants it forThirsty and miserable Always wanting more Thirsty and miserable Always wanting moreIt's 1:30 And we're all getting nervous The store closes at two There's not enough to last usThirsty and miserable Always wanting more Thirsty and miserable Always wanting more,black flag
"T.V. PARTY TONIGHT T.V. PARTY TONIGHT T.V. PARTY TONIGHT T.V. PARTY TONIGHTWE'RE GONNA HAVE A T.V. PARTY TONIGHT...ALRIGHT WE'RE GONNA HAVE A T.V. PARTY ...ALRIGHT...TONIGHT WE'VE GOT NOTHING BETTER TO DO, THAN WATCH T.V. AND HAVE A COUPLE OF BREWSEVERYBODY'S GONNA HANG OUT HERE TONIGHT...ALRIGHT WE'LL PASS OUT ON THE COUCH ALRIGHT...TONIGHT WE'VE GOT NOTHING BETTER TO DO, THAN WATCH T.V. AND HAVE A COUPLE OF BREWSDON'T TALK ABOUT ANYTHING ELSE...WE DON'T WANT TO KNOW WE'RE DEDICATED TO OUR FAVORITE SHOWSWE SIT GLUED TO THE T.V. ALL NIGHT...AND EVERY NIGHT WHY GO INTO THE OUTSIDE WORLD AT ALL...IT'S SUCH A FRIGHT WE'VE GOT NOTHING BETTER TO DO THAN WATCH T.V. AND HAVE A COUPLE OF BREWS T.V. NEWS SHOWS WHAT IT'S LIKE OUT THERE...IT'S A SCARE YOU CAN GO OUT...IF YOU WANT...WE WOULDN'T DARE! WE'VE GOT NOTHING BETTER TO DO THAN WATCH T.V. AND HAVE A COUPLE OF BREWS DON'T TALK ABOUT ANYTHING ELSE...WE DON'T WANT TO KNOW WE'RE DEDICATED TO OUR FAVORITE SHOWSI WOULDN'T BE WITHOUT MY T.V. FOR A DAY...OR EVEN A MINUTE! I DON'T BOTHER TO USE MY BRAIN ANYMORE... THERE'S NOTHING LEFT IN ITWAIT A MINUTE MY T.V. SET DOESN'T WORK IT'S BROKEN! WHAT ARE WE GONNA DO TONIGHT THIS ISN'T FAIR WE'RE HURTIN'! WE'VE GOT NOTHING LEFT TO DO LEFT WITH NO T.V. JUST A COUPLE BREWSWHAT ARE WE GONNA TALK ABOUT...I DON'T KNOW WE'RE GONNA MISS OUR FAVORITE SHOWSNO T.V. PARTY TONIGHT.",black flag
