lyrics,artist
"When I wake up, yeh I know I'm gonna be I'm gonna be the man who wakes up next to you When I go out, yeh I know I'm gonna be I'm gonna be the man who goes along with you If I get drunk, yes I know I'm gonna be I'm gonna be the man who gets drunk next to you And if I haver whatever that means I'm gonna be the man who's havering to youBut I would walk 500 miles And I would walk 500 more To be the man who walked 1,000 miles To fall down at your doorWhen I'm working yeah I know I'm gonna be I'm gonna be the man who's working hard for you And when the money comes in for the work I'll do I'll pass almost every penny on to you When I come home yeah I know I'm gonna be I'm gonna be the man who comes back home to you And if I grow old well I know I'm gonna be I'm gonna be the man who's growing old with youAnd I would walk 500 miles And I would walk 500 more To be the man who walked 1,000 miles To fall down at your doorSurrender SurrenderWhen I'm lonely yes I know I'm gonna be I'm gonna be the man who's lonely without you When I'm dreaming yes I know I'm gonna dream Dream about the time when I'm with you And if I get drunk, yeah I know I'm gonna be I'm gonna be the man that gets drunk next to you And if I haver, whatever the fuck that means I'm gonna be the man that havers next youAnd I would walk 500 miles And I would walk 500 more Just to be the man who walked 1,000 miles To fall down at your doorSurrender SurrenderWhen I'm lonely, yes I know I'm gonna be I'm gonna be the man whos lonely without you I'm gonna be the man whos coming homeCoz I would walk 500 miles And I would walk 500 more Just to be the man who walked 1,000 miles To fall down at your doorSurrender Surrender Surrender",pennywise
Thought you could face the world now you lost your nerve All the things you held so close until the tables turned And when I tried to warn you still you took the risk How did I know we'd drift apart how did I know it would come to this Now everything is over and it never will return You're just a part of my life a memory I wanna burn I could feel it ending you won't face the truth I can't live with all your lies I can't take more of your abuse No I can't take anymore Don't apologize to even the score Hypocrisy and unity they're not just words to me No I can't take anymore Want to send you a letter just to put your mind at ease I could write it up in the sky I still don't think that you could see You won't admit that it's over you won't face the truth I can live with all your lies I can't take more of your abuse All the things you try to hide won't wash away All the life you took from me you can't disguise will never fade So don't look for the answers or somewhere to place the blame There's nothing that can save you now can't get back what you threw away,pennywise
A burning plane as its going down the last scream before it hits the ground A lost ship on a raging sea a blinking distress signal of emergency A run away train careening off the tracks the last breath before a heart attack The earthquake as it shakes your room promising falling skies in impending doom One chance you feel it before you meet with your destiny One chance you need it to com to terms with mortality All thats important to me Everything inside of me All that's trivial will fade and soon recede you will see when on a date with destiny Look in the jaws of your own demise watch your life pass before your eyes Did you live like a dream come true or did you just survive? Did you do all you could do? In a fall from a burning tower What would you do with just one more hour? Live that hour out everyday Like it was your last you'll live much better that way You're on a date with destiny,pennywise
"When the world's coming down like an anvil on your head. You must make it, you can take it, if you just kick back. It's all part of living this surviving dread. But tell me when all's done and said. Who needs depression. You can hit the bottle or hit something instead. You can take the bottle break it over someone's head. Take your time, keep peace of mind, and smile bigtime.",pennywise
"I don't want anything for Christmas I wanna be naughty, not nice We'll burn all your trees down 'cause all days in this town it's such an ugly sightIt looks like Christmas but you just can't tell It's joyful and triumphant but to me it feels just like Christmas in hell! Christmas in hell! Christmas in hell! Christmas in hell! Christmas in hell!I find it all so depressing I've got no Yuletide joy We'll teach them a lesson We'll steal all the presents from every girl and boyIt looks like Christmas but you just can't tell It's joyful and triumphant but to me it feels just like Christmas in hell! Christmas in hell! Christmas in hell! Christmas in hell! Christmas in hell![Fletcher, deep voice] candel lights and Christmas trees we don't want any of these gingerbread and candy canes I'll show you what is right!It's Christmas in hell It's Christmas in hell It's Christmas in hell It's Christmas in hell Christmas in hell Christmas in hell!",pennywise
"You let me violate you You let me desecrate you You let me penetrate you You let me complicate you Help me...I broke apart my insides Help me...I got no soul to sell Help me..the only thing that works for me Help me get away from myselfI wanna fuck you like an animal I wanna feel you from the inside I wanna fuck you like an animal My whole existence is flawed You get me closer to GodYou can have my isolation... You can have the hate that it brings You can have my absence of faith... You can have my everythingHelp me tear down my reason Help me, it's your sex I can smell Help me you make me perfect Help me become somebody elseI wanna fuck you like an animal I wanna feel you from the inside I wanna fuck you like an animal My whole existence is flawed You get me closer to God",pennywise
Within all of us is the instinct to survive And to win at any cost In the fight to stay alive We fear the foreign cultures That are different from our own And make enemies from strangers Who are just people we don't know We fight amongst ourselves We obliterate ourselves yeah yeah And we compete until we die Even though we don't know why We believe in ancient lies We compete until we die We struggle against each other To get things in life we need And even more to give us the status Which in return will help us breed We separate ourselves by the color of our skin And the country where we're born And which god we believe in And we compete until we die We believe these ancient lies If we could only change our minds maybe then we'd all survive,pennywise
society reflects tonight an ugly mirror showing an animal instinct a twisted way to wrong a right how many dead before the sun comes arising lock your doors and close your eyes sit back and watch TV while the problem grows outside lock your doors and shut off your mind while you are safe inside the city is burning tonight blinding lights burn in the sky a mass of shadows darkness usually hides animals out of there cage (who will) burn their own environment without any shame so your guest is as good as mine will any good come out of this we'll know in time until that time let's not regress (let's learn) our lessons before there's another uprising,pennywise
"intro(well the only place your going tonight baby, is under my covers. yea along with your raingear, why dont yout take off what you got on and lets gets down to it.)I'd rather stay in bed all day In bed with you lying closely right by my side With no one to make us take one step outside Under the covers with you x4 I'd rather pull the sheets over our heads So we wouldn't have to face the day, no way Just lie in bed naked Under the covers with you x4 I'd rather stay in bed all day Under the covers with you x4 I'd rather be in bed with you And well its me and you Under the covers with you.",pennywise
take all that you've read and all you've heard said take every little bit of info clogged up in your head then play sane game ream out your crowded brain you'll feel much better when you clear your head I know it's a bitch     you gotta try you lose control and would like to know the reason why I know it's a bitch to clear your head you lose control then life is over       you are dead. now you may ask why     why such a blue sky of all the colors on a palette that you might try your mental landscape you'll feel much better when you clear your head and soon you'll see a much better way to be you'll see the person that you sought to be you got to be get your new clean slate when all that shit is erased you'll feel much better when you clear your head your life - is a dump for garbage sinner stacked up with the shit of worthless refuse from the past now you're backed up against the wall your life - a crowded thought collection so many theories dearly handed down to you and you just can't condense them it's your life. ---------------------------------------- the band: jim VOCALS AND CATHOLIC GUILT GUITAR fletcher GUITAR NO REMORSE DRUMS byron DRUMS BOYISH ENTH BASS jason,pennywise
