lyrics,artist
"California sun has sunk Behind Anaheim Hills, here comes tonight I was high on junk And the warm winds of Santa Ana feel alright??? man hood making bargain with the world She's all obsessive when you shot through the curb I spend my day in blackness At night I get my vision Trying to cut off so there's no indecision'Cause it's wild Well it's wild Wild, wild, wildCalifornia sun has sunk Behind Anaheim Hills, here comes tonight I was high on junk And the warm winds of Santa Ana feel alrightI get disgruntled, outside opinions I'm no longer respected in this new transition I put into effect, my long time standard Disastrous living, disastrous living!'Cause it's wild 'Cause it's wild Wild, wild, wildCalifornia sun has sunk Behind Anaheim Hills, here comes tonight I was high on junk And the warm winds of Santa Ana feel alright(w/Chef) 'Cause it's wild 'Cause it's wild Wild, wild, wildCalifornia sun has sunk Behind Anaheim Hills, here comes tonight I was high on junk And the warm winds of Santa Ana feel alright(w/Chef) California sun has sunk Behind Anaheim Hills, here comes tonight I was high on junk And the warm winds of Santa Ana feel alright Alright!",rancid
"Broke, dough, dope, the line is choked Smoked the last dollar to a name Are you buying? Are you selling girl?Talking square never change And if I really wanna know What it means for her to be free Oh she's mixing cocktails In a squat down Avenue C Yeah running through the streetThe parasitic ??? Ah, don't give her a fight He gets shallow so I know There won't be no fucking rainbow in sight And then deny allegations so strenuously Oh man, don't get outta control She was left wrestling in a silent anger So hell I can't be there for herI ain't looking for answers I don't want nothing is for free I sure don't want your respect I just wanna know who's talking to me I just wanna know who's talkin' to meI know she's jackin, homegirl's mackin' Tried to make sure am I in love ??? you and me She won't relinquish herself to you, and I sense an emergencyShe can cry, she can hide In the lower east side Been so low in the fast lane curse Above all the infamous, with its circus of the foolsAnd if I really want to know how the pernicious stay on top Oh they don't break, no break they don't fake They think they'll wake They don't stopI ain't looking for answers I don't want nothing is for free I sure don't want your respect I just wanna know who's talking to me I just wanna know who's talkin' to meYeahI just wanna know who's talkin' to me I just wanna know I just wanna know who's talkin' to me",rancid
13 red and white stripes flying White for skin and red for dyingWhy canç£˜ i walk on through And not feel like one is in hellWe donç£˜ need no water Let the motherfucker burn,rancid
"Yeah!She says his power is what's happening Well I'll be sure to be respecting nothing's stopping him And to move up for him about crushing them And I'll kick you plain and simple it's a sin manLeave it to the coroner to detect this And I'm sure the U.S.A. to wreck this He drives a tricked out tricked out tricked out Lexus And he looks at the city says I can take thisIt's high into a corner where the one leads Well it's so fucking high that your nose bleeds They watch you break the nose out of respect You broke the nose that is correctThe gates of hell are they closing in The victim's family going condemn him He said, ""Ah don't trust them"" Yeah he'll show themThe sword, the jewel, imagination Cash, culture and violence Violence, wealth and knowledge Cash, culture and violence Oh you're ridng and you're riding on the wings of destruction Cash, culture and violence It's the sword, the jewel, imagination Cash, culture and violencePoisoned like a rat who drank some strychnine gin How many men can say they been allow this to happen Bureaucratic military federation Living dead will need to rise againThe delicate skipped it heard the rumble And the legions that are timid lord they crumble And consequently nothing but a concrete jungle And lord I wonderThe sword, the jewel, imagination Cash, culture and violence Violence, wealth and knowledge Cash, culture and violence Oh you're ridng and you're riding on the wings of destruction Cash, culture and violence It's the sword, the jewel, imagination Cash, culture and violenceNickels, diamonds, can't be found There's no one, nothing, come straight down Psychosomatic, come straight down, You stopped cold from your nervous breakdownYeah!!!The sword, the jewel, imagination Cash, culture and violence Violence, wealth and knowledge Cash, culture and violence Oh you're ridng and you're riding on the wings of destruction Cash, culture and violence It's the sword, the jewel, imagination Cash, culture and violence(Cash!!!... Culture!!! Violence!!!)",rancid
"i get violent when i'm fucked up i get silent when i'm drugged up want excitement, don't get none, i go wildi don't know what can be done about it if you play the game you get nothing out of it find out for yourself try bein' a goody goodyyou better cheat cheat no reason to play fair cheat cheat or don't get anywhere cheat cheat if you can't winnobody knows what they are doing it's beyond your control, an' friday night's a ruin if you wanna survive you better learn how to liedon't use the rules they're not for you, they're for the fools and you're a fool if you don't know that so use the rule you stupid fool",rancid
"[Originally by Nofx]He spent fifteen years getting loaded Fifteen years 'till his liver exploded Now what's Bob gonna do now that he can't drink? The doctor said, ""What were you thinkin' 'bout?"" Bob said, ""That's the point, I wasn't thinkin' 'bout nothing Now I gotta do something else,"" OI OI OI ""To pass the time."" Bob shaved his head Got a new identity Sixty-two holed air cushioned boots And a girl who rides a scooter Gonna take him out, of town They would get away Riding around, as the trucks drive by You could here the mother fuckers go...A couple of lines, an extra thermos of Joe He'll be kickin' in heads at the punk rock show, yeah Bob's the kinda guy who knows just what Bob's the kinda guy who knows just what to do When the doctor tells him to ""Quit your drinkin', now's the time."" Will he ever walk the line To all my friends, I feel just great But will he ever walk the line Kickin' ass and bustin' heads Red suspenders Once a day he shaves his head But will he ever walk the line? But will he ever walk the line? But will he ever walk the line? But will he ever walk the line? But will he ever walk the line?",rancid
"California sun has sunk Behind the Anaheim Hills, here comes the night I was high on junk And the warm winds of Santa Ana feel all rightWill every crimmin' hood make a bargain with the world Seats are successive when you're shot to the curb I spend my day in blackness, at night I get my vision Dodgy, cause there are no one indecision Cause it's wild, well it's Wild wild wild wildI get destructive outside obedience I am no longer respected in this new transition I put into effect, my long time standard Disastrous living, disastrous living!All right!",rancid
"You need to straighten your posture and suck in your gut. You need to pull back your shoulders and tighten your butt. Yeah, come comanche, comanche, comanche, commode. If you want to have cities, you've got to build roads.You need to find some new feathers and buy some new clothes. Just get rid of the antlers and lighten your load. Yeah, come comanche, comanche, comanche, commode. Yeah, if you want to have cities, you've got to build roads.You need to straighten your posture and suck in your gut. You need to pull back your shoulders and tighten your butt. Yeah, come comanche, comanche, comanche, commode. Ah, if you want to have cities, Yeah, if you want to have cities, No, if you want to have cities, You've got to build roads.",rancid
I saw - a new generationcoming Under - the smoke over Oakland In and out - the streets are breathing Under - the smoke over OaklandChaos disorder looting and loiter From a blind man praying for some silence - for some silence ???Take a loot on the moon not a foot in the room??? My best intentions always ended in a fight - in a fight You can send me to hell expose me I'll tell Just take control and say what they're doing - what they're doing Two-fifty dead the tribune read Oakland's going off like a bomb!I saw - a new generation coming Under - the smoke over Oakland In and out - the streets are breathing Under - the smoke over OaklandArmageddon is coming so yea you better start running Cause the big wave is coming to the shore - to the shore No surprise that you see thru the lies of a system rotten to the core - to the core High tech surveilence paranoia and violence Keeping the city at a calm - at a calm Two-fifty dead the tribune read Oakland's going off like a bomb!I saw - a new generation coming Under - the smoke over Oakland In and out - the streets are breathing Under - the smoke over OaklandMan it just don't seem right You see every time I turn I around it's just the same story and it's like It just don't seem right and I wonder is it gonna end'Hit it! Knocking down the doors slogans on the walls One said fight back yea the system will falL The police came out with tear gas and flames Chaos in the city beating them at the game Don't pay the poll tax the headlines read Thirty cops beaten another one dead The fight lasted on through the Brixton night A thousand angry looters who knew they were rightI saw - a new generation coming Under - the smoke over Oakland In and out - the streets are breathing Under - the smoke over OaklandI saw - a new generation coming Under - the smoke over Oakland In and out - the streets are breathing Under - the smoke over Oakland,rancid
Hey! Ho! Hey! Ho! Hey! Ho! Hey!Well Im a crazy upsetter Driving me insane Yeah I'm a streetwise professor Who am I to blame? Now if you listen to the record Do you feel the same? Hell it don't get any better Going backwards againSwinging fists whack stitches in the face Fuck ups like me are just sorry that we're great Never been like them within society Crowd protects me feeling the banalityNow my gun are blazing Bloodclot I can see 360 And now my guns are blazing Pick it back up and start it all over againHey! Ho! Hey! Ho!Well I'm a bad mother fucker Driving me insane So don't you even bother Who am I to blame? Cuz when I listen to the record Do you feel the same? Hell it don't get any better Going backwards againI wish it was I wish you better have hope Well I kick my way in it seems to piss you all off Well I try to shut the gates the walls are fading I climb from the depths of hell unscathenNow my guns are blazing Bloodclot I can see 360 Now my guns are blazing Pick it back up and start it all over againHey! Ho! Hey! Go!Now my guns are blazing Bloodclot I can see 360 Now my guns are blazing Pick it back up and start it all over againBloodclot Oh yeah Well I can see 360 I can see all around me Oh yeah Na na na na na na na (Hey! Ho! Hey! Ho!) Na na na na na na na (Hey! Ho! Hey! Ho!) Nu na na na na na (Hey! Ho! Hey! Ho!) Nu na na na na na (Hey! Ho! Hey! Ho!) na na na na na na na na (Hey! Ho! Hey! Ho!) Hey! Ho! Hey! Ho! Well I can see 360 Hey! Ho! Hey! Ho!,rancid
