lyrics,artist
"In crowded bars, at subway carsWhenever you are next to me, center of gravity, can't feel both feet on the groundWalking home after dark, past the softball parkIt's clear to me, according to a rule I learned one day in school Basic geometry: two halves of a circle, you and meIt's a familial song we've known so longYour clever cuts into me as long as you're next to me I can't feel both feet on the ground",yo la tengo
"Locked in a kiss, outsiders cease to exist We'll shut it out (of the fist) Outsiders cease to exist We'll shut it outEight o'clock, the lights are on at Shea Phone turned down, we've nothing much to say Dozing off the TV drones House key makes them turn and glance for homeLocked in a kiss, outsiders cease to exist Flayed of the fist Outsiders cease to exist We'll shut it out",yo la tengo
"When I heard the knock on the door I couldn't catch my breath Is it too late to call this offWe could slip away, wouldn't that be better Me with nothing to say, and you in your autumn sweaterI tried my best to hide In a crowded room, it's nearly possible I wait for you, oh, most patientlySo I looked for your eyes And the waves looked like they'd pour right out of them I'll try hard, I'll try always But it's a waste of time It's a waste of time if I can't smile easily Like in the beginning In the beginning...",yo la tengo
"I will go if you say you'll go do you want to go I won't talk at all but I'll go for a ride I will go if you just let go do you want to go Is it all because of the time I took your advice I will go if you still want to go do you want to go And I will show what you want me to show do you want to know Until there's nothing left in the world to show you Only go where I don't know do you want to go You don't talk at all, but it's alright Feeling bold but your nose is cold like it's make of snow Is it all because of the time you took my advice If you put your hand in my palm I won't let it go Until there's nothing left in the world to make meSummer steaks and summer stays too long Autum comes and all of the sudden it's gone Tiny birds sit patiently Side by side on a wire Darker days and leaves in shapes so true Wind unfolds on nights so black their blue Tiny birds fly silently Side by side in the sky Don't be sad when it's time to say goodnight I'll be there to make sure that you sleep tight I'm your friend when you need a friend Until there's nothing left in the world to make you cry",yo la tengo
"Come along with me to my little corner of the world Dream a little dream in my little corner of the world You'll soon forget that there's any other place Tonight, my love, we'll share a sweet embraceAnd if you care to stay in my little corner of the world We could hide away in my little corner of the world I always knew that I'd find someone like you So welcome to my little corner of the worldAnd if you care to stay in our little corner of the world We could hide away in our little corner of the world We always knew that we'd find someone like you So welcome to our little corner of the world",yo la tengo
"Driving in the south, the motor's on fire Let's put it out, before the flames go higherMonday matinee, in pull we are life's throb So hard to choose between conceit and rockSome college in the spring, the sound is all wrong Reset the mate to our Flamin Groovies songDriving, night again, they're late, car crash We'll turn to look unless we're going too fast",yo la tengo
"i followed you   ..foolishly you were at a smoky bar, you were out til three sat alone inside my car, it was nearly four we were gonna wait for you all night so i locked the doori was gonna spend the night, coulda been okay we were gonna talk all night, till i went away remember how you used to say, can't stay up late a minute later we're older now, i can't stay awake i'm driving by your parent's farm, in the Chevrolet i remember that rusty car, like it was yesterdaysaw my brother driving by, the other day i wished that i'd go out to him, but he drove away saw my sister standing there, standing in rain then i thought about nothing, that it feels the sameanother day, come and gone don't think i can ever sing that song little secrets we bring along i'm taking my time, trailing behind, i thought of you today is the day i think of you",yo la tengo
"Not much Friday night, pinball, Lower East Side Walked halfway past and into the bar I used to think about you all the time I would think about you all the time Now it just feels weird, that there you are The damage is doneFeeling like a kid again, my eyes are glued to the floor I hope I mumbled goodbye as you walked out the door The damage is done",yo la tengo
"Ronnie, Ronnie please, come on I asking you to (watch) out for me please (watch out) Tell me nothing bout cha gonna do Ronnie, Ronnie, watch out (for me) Watch out I'm not scared Is it really, really, really so hard to do to just (watch) out for me please? (watch out) It's the only thing on my mind Ronnie, Ronnie, watch out (for me) Watch out pretty please Cause you never treated me no kindI wanna see you smile And when I wanna see you smile I wanna see you smile Now! (do, do, do...)And if you watch out for me I swear I'll watch out for youRonnie, I'm gonna ask you one more time for you to (watch) out for me please (watch out) Tell me nothing bout cha gonna do Ronnie, Ronnie, watch out (for me) Watch out I'm not scared Is it really, really, really so hard to do to just (watch) out for me please? (watch out) It's the only thing on my mind Ronnie, Ronnie, watch out (for me) Watch out pretty please Cause you never treated me no kindI wanna see you shake And when I wanna see you shake I wanna see you shake Now! (do, do, do...)And if you watch out for me I swear I'll watch out for youRonnie, I'm gonna ask you one more time for you to (watch) out for me please (watch out) Tell me nothing bout cha gonna do Ronnie, Ronnie, watch out (for me) Watch out I'm not scared Is it really, really, really so hard to do to just (watch) out for me please? (watch out) It's the only thing on my mind Ronnie, Ronnie, watch out (for me) Watch out pretty please Cause you never treated me no kindI asking you to (watch) out for me please (watch out) Tell me nothing bout cha gonna do Ronnie, Ronnie, watch out (for me) Watch out I'm not scared Is it really, really, really so hard to do to just (watch) out for me please? (watch out) It's the only thing on my mind Ronnie, Ronnie, watch out (for me) Watch out pretty please Cause you never treated me no kindI wanna see you smile And when I wanna see you smile I wanna see you shake And when I wanna see you shake I wanna hear you laugh And when I wanna hear you laugh I wanna see you RIGHT NOW! And when I wanna see you right here now (do, do, do,...) To watch out, for me please And watch out, for me please Now c'mon, one more time, for me please Ronnie watch out for me please Ronnie, Ronnie watch out, for me please And watch out, for me please! (ba baaa ba ba baaa...)",yo la tengo
"Talking words, angry words Hang in the air, we don't dare Sky went gray, wake in white Hangs in the air, we don't dareAnd there's a thousand reasons I don't need them to help the fired flare And even as we near it, I can't hear it Files in the air We don't dare",yo la tengo
As he fired up the drum machine He stole a glance at the empty seats He took a minute to retune his guitar As the hour grew lateI wanna send this out to Richie Vey In his thrift-store corner of the world His soul is my cheap laugh As the hour grows late,yo la tengo
"Scold me, that's all you've got to say Coldly hurt me and turn away You say I'm not sorry that I'm resolved to what is next I head for the shadowsHold me, taking it back in tears You've told me, slowly confessed your fears But I've got myself to protect It's too soon for me to forget I wait in the shadowsIn the shadows, where I end up loved They help me see that I've finally won We wait in your heartSo until I truly believe That your words convey what you mean I wait in the shadows I wait in the shadows I don't mind the shadows",yo la tengo
"Whatever you want from me, whatever you want I'll do Try to squeeze a drop of blood from a sugarcubeTry to be more assured, try to be more right there Try to be less uptight, try to be more aware Whatever you want from me, is what I want to do for you Sweeter than a drop of blood from a sugarcubeAnd though I like to act the part of being tough I crumble like a sugarcube for youWhatever you want from me, whatever you want I'll do I will try",yo la tengo
