,lyrics,artist,genre
1,"She knows I can't read She knows I can't write But these are the letters from melody Show me how to read Show me how to write These are the things you can do for meWhy did you kill that poor old man, melody Why did you kill that poor old man, melody She said, ?He was never good to me? She said, ?He was never good to me?Tell me how she was dressed that day, my melody Don't show me how she touched her face, my melody She said, ?I would never do it again. Give me another chance.? I said, ?Why didn't you come to me? Why didn't you talk to me??",blonde redhead,indie
2,"I won't bind my strings to you But build my world besides you Watching you draw a line Some say you are, you are Just like a butterfly Whose broken wings will spread To softly feel your mood Over the blue sky full of you Pink love, pink love, pink love Just like a fairytaleMy only reason naturally Starts to get to me Pushing my way through Mesh of life I want to kiss the sickness of mind My heart without reason Sunken to deep disappointment Spreads over universe With a knife I want to bleed out distress like thisIt's not just a fairytale painted by me It's not just loneliness between you and I If on magic mountain you find you can breath Then stay and don't look back To the blue woven skyStorms of petals are pouring down Pushing their way through our pink love So many polka dots painted by me Spreads over universe for you And I, I want to kiss Pink love, pink love I want to kiss Pink love, pink love In my mind I state myself The clock is ticking without you Some may say illness So called so called love The sickness of mind",blonde redhead,indie
3,We've come a long way to where the mountain is high I take my cedar to where the mountain is highWhat I need is a peace and quiet What we see is an illusion I have no reason to confuse them I have no reason to confuse my brothersThey have real shotguns They were baby killers But I warned you many times that they will burn down your houseNot today (what can I do) Not today (to make it better)What we need is a persuasion What you give is retaliation I hope one day we meet again I hope one day we love one anotherThey were young soldiers They were old liars But I heard the rumor that they will burn down your houseNot today (what can I do) Not today (to make it better)They will burn down your house They will burn down your house,blonde redhead,indie
4,"say wrong i won't say anything...anyway fake can be just as goodplace you've never been patience on the way place you've never been no way...anywaywhy then you renew in so many ways how far fake can be no flaw on the way I know I'm just a flaw...anyway so I **** some space...and come backI know good walk away I need to shut away What I throw away I want your wayI know I get away anyway I know it's hard to get ahead, boysay wrong i won't say anything...anyway fake can be just as goodplace you've never been patience on the way place you've never been no way...anywayI know a man is somewhere..where? here I am, shot it againI know you'd walk away I need to shout away What I throw away I want your way",blonde redhead,indie
5,"Lying on my back, I heard music Felt unsure and catastrophic Had to tell myself it's only music It blows my mind, but it's like thatAnyone there? What could you tell me? Afraid of what? Would you ever know? Everyone else is really boring Anyone else wouldn't be good enoughSome place safe, I would imagine Someone new would be so cruel Incurable paranoiac, hysterical depressionX X X Alex I'm your only friend X X X Alex your love will sing for you (repeat)Some place safe, I would imagine Someone new would be so cruel Incurable paranoiac, hysterical depressionX X X Alex X X X Alex X X X X X Alex X X X Alex your love will sing for you",blonde redhead,indie
6,this crime for him desire no-one sees it nothing cleans ityou will find a week re- ligion some to see you call you kill you how can I contribute tell me make me I don't want to wan't to loose my mind and suffer 'nother degra- dation tell me why then (x8)Why do you give nothing?! imagine all the love return. (something)This time my face my sky prophet's features childish creatures walk a- round you not you in you still we value the film(?) I make I still want to knowtime a moment and I'll be there to sail on rapid waters but now that I see you in a field of grass I ask you why then (x6)Who is then wounded silent love imagine all the love returns,blonde redhead,indie
7,"Seeing you on the wall in my room, it's so close to how I want I never found the same as you Listen you in my house on though you're so gentle I try I lie you lieMy friends told me stories of you driving wizards up and down I never seen the same again In vain, like it was yoursfar away, like you never meant to say, I've got to stay I can see a worlds I can see the worlds that belong to youI don't need those words I don't need those words say Sonic Youth...Take me in, in such way take it all until the gracedon't know why don't know why don't know why don't know whySeeing you on the wall in my room, it's so close to how I want I never found... I never found... I never found...",blonde redhead,indie
8,With a thousand kisses Every moment is all mine come back this timeWith a thousand kisses one at time you brought me crimeEvery minute is mineWith a thousand kisses ---- I'm away you brought me downWith a thousand kisses every second I think of you come back it's fine bring some wine and leave my mind foreverWith a thousand kisses we share I don't care I wish you downWith a thousand kisses every second I think of you come back it's fine bring some wine and leave my mind forever,blonde redhead,indie
9,??? I never thought you were so greasy I have no idea ... I like you starving I have no idea I never thought you were so greasy I have some good idea ?????I have no idea I never thought you were so greasy I have no half idea You stare...as if you were starving I have no idea I never thought you were so greasy I have some good idea ?????One Eye Long Gone Too Sure Me Sigh Faint,blonde redhead,indie
10,Once she loved a boy. But he did not love her. His name was Jun. Disillusioned she tried to forget. So she left everything & traveled to the other side of the world. But life was like a dream. A series of meaningless movement.And then by chance she met you & your brother. The moment she saw you. She knew you were made for her.You're never out of her thoughts. She sees only you.If it was yesterday he'd felt free just like her He could have been with her But today can't be anymore Tomorrow maybe yes. But today he is not there.I heard someone say That mind keeps wondering from desire to contempt From contempt to desire Never ever feeling bored. Cause we think we are free. I think it's so pathetic. Don't you ? Were you listening to me. No not even one word.I heard someone say that mind keeps wondering Life is like a dream. A series of meaningless movement. I heard someone say Let's go to the other world Because we think we are free. A series of meaningful MovementLa la la,blonde redhead,indie
11,close your spine till you're a ball tihs is a good way to break off from the party pretend you're lost pretend you're dog i know you can chew a shoe like a piece of steaknow you can hide now you can seek like a pleasure treasure hunter killers ...why go home?stretch your face until it makes sense wrap your heart with all the nerves and veins ...am I not my body? I seem to remember numbers figures details of this lifenow you can count now you can act like an enemy sister social worker ...are we damned?,blonde redhead,indie
12,"It's not, it's not what you give but it's what you kept It's not, it's not who you kill but it's who you leftI am I am running in my head I am I am lying on my left I am I am growing in my bed I am I am ...It's not, it's not how you speak but it's what you said It's not, it's not what you seek but it's what you haveI am I am running in my head I am I am lying on my left I am I am growing in my bed I am I am...It's not, it's not what it seems ... It's not what it seems It's not, it's not what you leave but it's what you holdI am I am running in my head I am I am lying on my left I am I am growing in my bed I am I am ...",blonde redhead,indie
13,On you I can't stop you now how to fall how to be and who to buy where to live and when to lie visible invisible how to be desirable always you always me except your own defense no not now no not with myself all I want is to be you all you want is to be two visible invisible how to be describable always you always me except your own defense my last words were not amusing I know but since then I thought about what I can tell you kindly show you and give you my head aches just as I speak of you I am not sure I alone each man to himself like myself I see this song is you this song is full of you all I want is to be two this song ...,blonde redhead,indie
14,"Come Come, turn around shake shake your love . Only you can be so cool Only you can be so real Do you feel so real Do you know when to start Why should I be so sad I wanna touch you nowNot so fast Don't cry so much (??Put your arms in my words.....??) listenAhhhhh you're here I wanna know your song Need your eyes, your eyes are here (?) Touch me with your smile Touch me with your heart(?) Why should I be so bad(?) I wanna touch you now (?)Not so fast Don't cry so much (??Put your arms in my words.....??) listenCome Come, turn around shake shake your love Only you can be so cruel Only you can be so real Do you feel so real Do you know when to start Why should I be so sad ? I wanna touch you nowNot so fast Don't cry so much (??Put your arms in my words.....??) listen",blonde redhead,indie
15,"Tears you see on my face, you do have something to do with Fear starts creeping up when you have so much to lose Your love waits you while you're cheating Lightning strikes you when you're movingThe light you see in my eyes, you do have something to do with Play the game namely love, play it like you have nothing to lose Horse loves you when you move with him People hate you when you're changingDon't let the dress trick you I love you less now that I know you I won't count the scars again I love you less now that I know youThe glow you see on my face, you do have something to do with Fear starts creeping up when you have so much to lose Your love wait you while you're cheating Lighting strikes you when you're movingDon't let me wonder away I love you less now that I know you Don't let the dress trick you I love you less now that I know youI won't count the scars again Because I love you",blonde redhead,indie
16,"Tell me where you've seen my life I look in your eyes and can only see my own complexion Tell me where you've been my life I've been watching you spring by summer fall when some one calledTell me where you've seen my life You've been biting my hands and knocking me down down to the ground Tell me where you've been my life I see only what you see, face who you face, be who you want to beClashing lies and clashing thighs Clashing chasing changing minds Tell me what you've seen tell me where you've gone Tell me where you've been tell me what you sawClashing lies and clashing thighs Clashing chasing changing minds Tell me what you've seen tell me where you've gone Tell me where you've been tell me what you saw",blonde redhead,indie
