lyrics,artist
,pixies
"Ooooooh - stopWith your feet in the air and your head on the ground Try this trick and spin it, yeah Your head will collapse But there's nothing in it And you'll ask yourselfWhere is my mind [3x]Way out in the water See it swimmin'I was swimmin' in the Carribean Animals were hiding behind the rock Except the little fish But they told me, he swears Tryin' to talk to me to me to meWhere is my mind [3x]Way out in the water See it swimmin' ?With your feet in the air and your head on the ground Try this trick and spin it, yeah Your head will collapse If there's nothing in it And you'll ask yourselfWhere is my mind [3x]Ooooh With your feet in the air and your head on the ground Ooooh Try this trick and spin it, yeah Ooooh Ooooh",pixies
In heaven Everything is fineIn heaven Everything is fineIn heaven Everything is fine You got your good thing And I've got mineIn heaven Everything is fineIn heaven Everything is fineIn heaven Everything is fine You got a your good thing And you've got mineIn heaven Everything is fineIn heavenIn heaven Everything is fine You've got a your good thing And you've got mineIn heaven Every thing is fine,pixies
The day since i met her i can't believe it's true she came here from memphis across the ocean sailing and i saw her a i pleaded why do you come so far and she said trying to get to you how i tried to get you trying to get you i'm sending a letter i'll send it right to you i'll send it to memphis i know that someday everything i needed and i wanted used to be that my head was haunted and all these sirens they make me mad and all this violence it brings me down i feel strong i feel lucky trying to get to you said i'm going to get to you trying to get to you.,pixies
"Hermanita ven conmigo [x2], Hay aviones cada hora,Isla del encanto, Me voy! [x3] Donde no hay sufrimiento [x2], Me vieron pasar por la calle, Isla del encanto, Me voy! [x3]Nuestro propio animal canta a la gente pa'gratis , Hey babe what are we doing here?. Laaaaa,Loooh,Patria. Isla del encanto, Me voy! [x3][TRANSLATION]Little sister come with me, There are planes each hour,Island of the enchantment, I'm leaving! Where there is no suffering, They saw me pass by the street, Island of the enchantment, I'm leaving!Our own animal sings for free for the people, Hey babe what are we doing here? Laaa Loooh,Fatherland.Island of the enchantment, I'm leaving!",pixies
"i know you're rich in good clothes and little things your mind is fancy (and your car is bitchin') is she weird is she weird, is she white is she promised to the night and her head has no room and her head has no roomyour heart is ripshit your mouth is everywhere i'm lyin' in itis she weird is she over me like the stars and the sun like the stars and the sun is she weird is she weird, is she white is she promised to the night and her head has no room!no more of this girl cryin' i'm here, your big man you're mineis she weird, is she white is she promised to the night and her head has no room",pixies
"[whistle] yeah i love you i do i love you all i'm saying pretty baby la la love you don't mean maybe all i'm saying pretty baby first base second base third base home run [whistle] yeah i love you i do i love you all i'm saying pretty baby la la love you, don't mean maybe all i'm saying pretty baby",pixies
"Estaba pensando sobreviviendo con mi sister en New Jersey, Ella me dijo que es una vida buena alla, Bien rica bien chevere, Y voy! Puneta! [TRANSLATION]I was thinking surviving with my sister in New Jersey, * She told me it's a good life there, Very good very nice, Here I Go! Jerk off!We'll keep well bred, We'll stay well fed, We'll have our sons, They will be all well hung.They'll come and play, Their friends will say, Your daddy's rich, Your mamma's a pretty thing.That maid Maria she's really O.K.Vamos a jugar por la playa [x5] [Let's go play by the beach]I keep getting friends, Looking like lesbians, If we get bored, We'll move to California.They'll come and play, Their friends will say, Your daddy's rich, Your mamma's a pretty thing.That maid Maria she's really O.K.Vamos a jugar por la playa [x5]",pixies
In Heaven Everything is fineIn Heaven Everything is fineIn Heaven Everything is fine You got your good thing And I've got mineIn Heaven Everything is fineIn Heaven Everything is fineIn Heaven Everything is fine You got a your good thing And you've got mineIn Heaven Everything is fineIn HeavenIn Heaven Everything is fine You've got a your good thing And you've got mineIn Heaven Every thing is fine,pixies
"And there ain't no night And there ain't no nightDid you hear what I said Come into the white (?) Into the White [3X]And there ain't no day And there ain't no dayAnd there ain't no night And there ain't no nightInto the White [3X]Did you hear what I said? Did you hear what I said?Deeper than your sleepy haed Deeper than your sleepy headAin't nothin' to see Ain't nothin' in sightInto the white [3X]Go, and you'll go real far Go, and you'll go real farJust past the big quasar Just past the big quasarCan't hitch a meteorite Can't hitch a meteoriteInto the white [13X]",pixies
