lyrics,artist
,throwing muses
"Look at this it don't fit You've put wild into it I'm amazed you've put wild into it What can I give you what can I give Cool place, I'm amazed You brought me into space You put cake down my throat and in my face What can I give you what can I takeKissing you is like kissing gravel but feel's like getting off Kissing you is like sinking down into the moss You look better upside down You look better lying downOn the move I can lose all my sympathy for you Sitting straight on the back of mother hate What can I tell you what can I say On my knees I can see all your better qualities So you freeze I make frozen into heat What can I tell you that you'll believeKissing you is like kissing gravel but feels like getting drunk Kissing you is like sinking down into the mud You look better upside down You look better lying downFor today I've arranged to be just enough deranged To relax in the arms of someone strange I promise you today I promise you today I promise you todaaaayyy",throwing muses
"Read the stop signs I can't love nothing I mate, kill You wake up and it's not morning I can't sleep, I loved you once I loved you so muchThere's a shape on the horizon As we're picked off one by one Something's gone Something's overMove your hand again I can't watch you wash The floor You live for the green I hold your flame So why?There's a shape over the ocean As we're picked off one by one Summer's gone Summer's overSomebody here's too smart There's nothing that doesn't die Why don't you do to my insight What you do to my insides? Oh, babeI'm in a deep hole I've dug myself five feet deep So many people want to talk They look in the mirror, see themselves They look in the mirror, they look at me, They look at me They look at me, oh-oh-ohSomething's gone Something's overPeter said ""Thanks for letting me hold you Calling me moonshine I can take you there and call you that"" This is your nameI'm lonely at night Time on my hands I feel sad in the day Call me Call me Call meNobody knows Home or away What I'm waiting for Call me Call me Call meHere I am What a loser Waiting for years to go by Call me Call me Call me",throwing muses
They took a picture And from this cold lightning living me through So I feel like an alarm clock Fire came from my mouth Is pushing me around And I'm not loving and I'm not hating I'm not creating I'm losing my friends and my young dreams That was vicious air spilled in my face out of love And out of love Keep walking If I did the same thing 500 times Could you see it in the dark? I trust the weather I try to make the bodies give me strength Do we see them in the yard? Who cares in they're rolling in bed? There's only darkness upstairs Does love sit cold 'til you put in somewhere Do objects split it at your heart? I don't see that anymore I'm colder and colder and colder,throwing muses
They took a picture And from this cold lightning living me through So I feel like an alarm clock Fire came from my mouth  Is pushing me around And I'm not loving and I'm not hating I'm not creating I'm losing my friends and my young dreams That was vicious air spilled in my face out of love And out of love Keep walking If I did the same thing 500 times Could you see it in the dark? I trust the weather I try to make the bodies give me strength Do we see them in the yard? Who cares in they're rolling in bed? There's only darkness upstairs Does love sit cold 'til you put in somewhere Do objects split it at your heart? I don't see that anymore I'm colder and colder and colder,throwing muses
"( T.Donelly ) do they appreciate? slap an art over everything they see luxury it's a luxury sell out, sell out no conditions sacrifice, sacrifice, sacrifice it's a luxury stare, stare unleash, unleash that's the other side it is luxury and run till it hurts until you bleed and don't lose your mind until you call me and words, all words molest, molest; it's strife, strife, strife, for your life, all beating, and breathing and running.",throwing muses
"Your eyes so clear That your face goes on and on Its lasts a long, long time You could be very easy . . . The beast within Can I come to your house? I love to dance I got this fear f-f-f Of rejection; I can't call you Look at me! You could be very happy . . . Tongue You make my face, too Thunder and lightning You could be very easy . . . Your eyes so clear And your face goes on and on It lasts a long, long time! Clear and great Clear and great Great.",throwing muses
I keep meeting you and meeting I have promises to keep I keep making them and leaving That looks like a carnival wig And two shiners Let's just say it crawled across the snow It looks like your left hand Don't love me I won't be afraid When my ears ring and my head spins I'll be on your good side,throwing muses
"Catch catch catch catch catch catch catch Catch a bullet in your teeth. I put my head in the sand oh boy, oh boy, oh boy Hi Bad, big bridges. Big, big buildings Blue boy It's raining out here It's freezing out here Catch a bullet in your head. I'll put my teeth in the sand oh boy, oh boy, oh boy. Uh, rain Bad, big bridges Big, big buildings Blue boy The tears from one eye fall into the other It's taxing out here.",throwing muses
"Read the stop signs I can't love nothing Make, kill You wake up and it's not morning I can't sleep, I loved you once I loved so much There's a shape on the horizon As we're picked off one by one Something's gone Something's over Move your hand again I can't watch you wash The floor You live for the green I hold your flame So why? There's a shape over the ocean As we're picked off one by one Summer's gone Summer's over Somebody here's too smart There's nothing that doesn't die Why don't you do to my insight What you do to my insides? Oh, brain I'm in a deep hole I've dug myself in deep So many people want to talk They look in the mirror, see themselves Look in the mirror, look at me, look at me They look at - me I Something's gone Something's over Peter said Thanks for letting me hold you Calling me moonshine I can take you there and call you that This is your name I'm lonely at night Time on my hands I feel sad in the day Call me Call me Comfort me Nobody knows Home or away What I'm waiting for Call me Call me Come for me Here I am What a loser Waiting for years to go by Call me Call me Call me",throwing muses
"Fell out of the sky I fell out of the sky I check the time While you wait for your clothes to dry I cut lemons and lemons and limes One sour finger pretty as a picture I always have a smile Yeah, I always have a smile for youI need a boat can cut through the swamp And take you for a ride You need a suit for jaunts through the swamp Your clothes never driedThe boys change my name I'm flying again My mind, I'd like to make a baby healthy and wise I cut lemons and lemons and limesI need a boat can cut through the swamp And take you for a ride You need a suit for jaunts through the swamp Your clothes never driedDon't worry the bees don't worry the bees They buzz around me don't worry the bees The buzz sounds sweet to me",throwing muses
"With your bright yellow gun, You own the sun And I think I need a little poison To keep me tame Keep me awake I have nothing to offer but confusion And the circus in my head, And the middle of the bed In the middle of the nightWith your bright silver frown, You own the town And I think I need a little poison I have no secrets I have no lies I have nothing to offer but the middle of the night And I think you need a little poisonYou leak one apple a week to survive And you still have to ask if you're alive You have nothing to offer but police my dreams Keep me clean Keep me awakeWith your bright yellow gun, You own the sun And I think I need a little poison With your bright silver grin, You own sin And I think I need a little poison Bright yellow gun",throwing muses
