date,week,name,predicted_tempreature
2020-03-01,9,Charlottenburg-Wilmersdorf,3.96
2020-03-02,10,Charlottenburg-Wilmersdorf,4.18
2020-03-03,10,Charlottenburg-Wilmersdorf,4.32
2020-03-04,10,Charlottenburg-Wilmersdorf,4.44
2020-03-05,10,Charlottenburg-Wilmersdorf,4.58
2020-03-06,10,Charlottenburg-Wilmersdorf,4.7
2020-03-07,10,Charlottenburg-Wilmersdorf,4.78
2020-03-08,10,Charlottenburg-Wilmersdorf,5.01
2020-03-09,11,Charlottenburg-Wilmersdorf,5.25
2020-03-10,11,Charlottenburg-Wilmersdorf,5.4
2020-03-11,11,Charlottenburg-Wilmersdorf,5.53
2020-03-12,11,Charlottenburg-Wilmersdorf,5.66
2020-03-13,11,Charlottenburg-Wilmersdorf,5.78
2020-03-14,11,Charlottenburg-Wilmersdorf,5.85
2020-03-15,11,Charlottenburg-Wilmersdorf,6.07
2020-03-16,12,Charlottenburg-Wilmersdorf,6.3
2020-03-17,12,Charlottenburg-Wilmersdorf,6.43
2020-03-18,12,Charlottenburg-Wilmersdorf,6.55
2020-03-19,12,Charlottenburg-Wilmersdorf,6.67
2020-03-20,12,Charlottenburg-Wilmersdorf,6.77
2020-03-21,12,Charlottenburg-Wilmersdorf,6.83
2020-03-22,12,Charlottenburg-Wilmersdorf,7.04
2020-03-23,13,Charlottenburg-Wilmersdorf,7.26
2020-03-24,13,Charlottenburg-Wilmersdorf,7.38
2020-03-25,13,Charlottenburg-Wilmersdorf,7.49
2020-03-26,13,Charlottenburg-Wilmersdorf,7.61
2020-03-27,13,Charlottenburg-Wilmersdorf,7.71
2020-03-28,13,Charlottenburg-Wilmersdorf,7.77
2020-03-29,13,Charlottenburg-Wilmersdorf,7.98
2020-03-30,14,Charlottenburg-Wilmersdorf,8.21
2020-03-31,14,Charlottenburg-Wilmersdorf,8.34
2020-04-01,14,Charlottenburg-Wilmersdorf,8.46
2020-04-02,14,Charlottenburg-Wilmersdorf,8.59
2020-04-03,14,Charlottenburg-Wilmersdorf,8.71
2020-04-04,14,Charlottenburg-Wilmersdorf,8.79
2020-04-05,14,Charlottenburg-Wilmersdorf,9.03
2020-04-06,15,Charlottenburg-Wilmersdorf,9.28
2020-04-07,15,Charlottenburg-Wilmersdorf,9.43
2020-04-08,15,Charlottenburg-Wilmersdorf,9.58
2020-04-09,15,Charlottenburg-Wilmersdorf,9.74
2020-04-10,15,Charlottenburg-Wilmersdorf,9.88
2020-04-11,15,Charlottenburg-Wilmersdorf,9.98
2020-04-12,15,Charlottenburg-Wilmersdorf,10.24
2020-04-13,16,Charlottenburg-Wilmersdorf,10.51
2020-04-14,16,Charlottenburg-Wilmersdorf,10.68
2020-04-15,16,Charlottenburg-Wilmersdorf,10.85
2020-04-16,16,Charlottenburg-Wilmersdorf,11.02
2020-04-17,16,Charlottenburg-Wilmersdorf,11.17
2020-04-18,16,Charlottenburg-Wilmersdorf,11.29
2020-04-19,16,Charlottenburg-Wilmersdorf,11.56
2020-04-20,17,Charlottenburg-Wilmersdorf,11.83
2020-04-21,17,Charlottenburg-Wilmersdorf,12.01
2020-04-22,17,Charlottenburg-Wilmersdorf,12.18
2020-04-23,17,Charlottenburg-Wilmersdorf,12.35
2020-04-24,17,Charlottenburg-Wilmersdorf,12.5
2020-04-25,17,Charlottenburg-Wilmersdorf,12.62
2020-04-26,17,Charlottenburg-Wilmersdorf,12.88
2020-04-27,18,Charlottenburg-Wilmersdorf,13.14
2020-04-28,18,Charlottenburg-Wilmersdorf,13.31
2020-04-29,18,Charlottenburg-Wilmersdorf,13.47
2020-04-30,18,Charlottenburg-Wilmersdorf,13.63
2020-05-01,18,Charlottenburg-Wilmersdorf,13.76
2020-05-02,18,Charlottenburg-Wilmersdorf,13.86
2020-05-03,18,Charlottenburg-Wilmersdorf,14.1
2020-05-04,19,Charlottenburg-Wilmersdorf,14.35
2020-05-05,19,Charlottenburg-Wilmersdorf,14.5
2020-05-06,19,Charlottenburg-Wilmersdorf,14.63
2020-05-07,19,Charlottenburg-Wilmersdorf,14.77
2020-05-08,19,Charlottenburg-Wilmersdorf,14.89
2020-05-09,19,Charlottenburg-Wilmersdorf,14.96
2020-05-10,19,Charlottenburg-Wilmersdorf,15.19
2020-05-11,20,Charlottenburg-Wilmersdorf,15.42
2020-05-12,20,Charlottenburg-Wilmersdorf,15.55
2020-05-13,20,Charlottenburg-Wilmersdorf,15.66
2020-05-14,20,Charlottenburg-Wilmersdorf,15.78
2020-05-15,20,Charlottenburg-Wilmersdorf,15.88
2020-05-16,20,Charlottenburg-Wilmersdorf,15.93
2020-05-17,20,Charlottenburg-Wilmersdorf,16.14
2020-05-18,21,Charlottenburg-Wilmersdorf,16.35
2020-05-19,21,Charlottenburg-Wilmersdorf,16.46
2020-05-20,21,Charlottenburg-Wilmersdorf,16.56
2020-05-21,21,Charlottenburg-Wilmersdorf,16.67
2020-05-22,21,Charlottenburg-Wilmersdorf,16.75
2020-05-23,21,Charlottenburg-Wilmersdorf,16.8
2020-05-24,21,Charlottenburg-Wilmersdorf,16.99
2020-05-25,22,Charlottenburg-Wilmersdorf,17.19
2020-05-26,22,Charlottenburg-Wilmersdorf,17.3
2020-05-27,22,Charlottenburg-Wilmersdorf,17.39
2020-05-28,22,Charlottenburg-Wilmersdorf,17.49
2020-05-29,22,Charlottenburg-Wilmersdorf,17.57
2020-05-30,22,Charlottenburg-Wilmersdorf,17.6
2020-05-31,22,Charlottenburg-Wilmersdorf,17.79
2020-06-01,23,Charlottenburg-Wilmersdorf,17.98
2020-06-02,23,Charlottenburg-Wilmersdorf,18.08
2020-06-03,23,Charlottenburg-Wilmersdorf,18.16
2020-06-04,23,Charlottenburg-Wilmersdorf,18.25
2020-06-05,23,Charlottenburg-Wilmersdorf,18.32
2020-06-06,23,Charlottenburg-Wilmersdorf,18.34
2020-06-07,23,Charlottenburg-Wilmersdorf,18.52
2020-06-08,24,Charlottenburg-Wilmersdorf,18.69
2020-06-09,24,Charlottenburg-Wilmersdorf,18.78
2020-06-10,24,Charlottenburg-Wilmersdorf,18.84
2020-06-11,24,Charlottenburg-Wilmersdorf,18.91
2020-06-12,24,Charlottenburg-Wilmersdorf,18.96
2020-06-13,24,Charlottenburg-Wilmersdorf,18.96
2020-06-14,24,Charlottenburg-Wilmersdorf,19.11
2020-06-15,25,Charlottenburg-Wilmersdorf,19.27
2020-06-16,25,Charlottenburg-Wilmersdorf,19.33
2020-06-17,25,Charlottenburg-Wilmersdorf,19.36
2020-06-18,25,Charlottenburg-Wilmersdorf,19.41
2020-06-19,25,Charlottenburg-Wilmersdorf,19.43
2020-06-20,25,Charlottenburg-Wilmersdorf,19.41
2020-06-21,25,Charlottenburg-Wilmersdorf,19.53
2020-06-22,26,Charlottenburg-Wilmersdorf,19.66
2020-06-23,26,Charlottenburg-Wilmersdorf,19.7
2020-06-24,26,Charlottenburg-Wilmersdorf,19.72
2020-06-25,26,Charlottenburg-Wilmersdorf,19.74
2020-06-26,26,Charlottenburg-Wilmersdorf,19.74
2020-06-27,26,Charlottenburg-Wilmersdorf,19.71
2020-06-28,26,Charlottenburg-Wilmersdorf,19.82
2020-06-29,27,Charlottenburg-Wilmersdorf,19.94
2020-06-30,27,Charlottenburg-Wilmersdorf,19.97
2020-07-01,27,Charlottenburg-Wilmersdorf,19.98
2020-07-02,27,Charlottenburg-Wilmersdorf,20.01
2020-07-03,27,Charlottenburg-Wilmersdorf,20.02
2020-07-04,27,Charlottenburg-Wilmersdorf,19.99
2020-07-05,27,Charlottenburg-Wilmersdorf,20.11
2020-07-06,28,Charlottenburg-Wilmersdorf,20.24
2020-07-07,28,Charlottenburg-Wilmersdorf,20.28
2020-07-08,28,Charlottenburg-Wilmersdorf,20.32
2020-07-09,28,Charlottenburg-Wilmersdorf,20.36
2020-07-10,28,Charlottenburg-Wilmersdorf,20.38
2020-07-11,28,Charlottenburg-Wilmersdorf,20.37
2020-07-12,28,Charlottenburg-Wilmersdorf,20.52
2020-07-13,29,Charlottenburg-Wilmersdorf,20.67
2020-07-14,29,Charlottenburg-Wilmersdorf,20.73
2020-07-15,29,Charlottenburg-Wilmersdorf,20.78
