iter	RMSE
0	144.9699883
1	122.4518522
2	104.7626041
3	92.00523846
4	83.23510248
5	75.23576502
6	70.04459069
7	65.44556387
8	63.43855344
9	60.6825166
10	59.28261614
11	58.09323659
12	56.25499761
13	55.19448675
14	54.24619374
15	53.46559746
16	52.84910256
17	52.51916577
18	51.60213053
19	51.19283829
20	50.43749523
21	50.2449776
22	49.52201514
23	48.72695537
24	48.35386906
25	48.09834272
26	47.74377887
27	47.44326304
28	47.09166443
29	46.66740061
30	46.46614454
31	45.98221564
32	45.79349801
33	45.26859167
34	44.97144355
35	44.59823217
36	44.28363895
37	44.00654134
38	43.73434719
39	43.60997537
40	43.30187884
41	43.15278262
42	42.97217681
43	42.76917099
44	42.5916485
45	42.4972777
46	42.3270145
47	42.17728836
48	41.95307725
49	41.81554249
50	41.7522337
51	41.66689312
52	41.33726403
53	41.20460553
54	40.88307018
55	40.71737891
56	40.4980801
57	40.38855489
58	40.30611083
59	40.14687532
60	39.9529306
61	39.81077986
62	39.65214811
63	39.52423925
64	39.42905858
65	39.32318843
66	39.24854664
67	39.13082663
68	38.99177756
69	38.7284132
70	38.6002558
71	38.51155376
72	38.41314831
73	38.20258717
74	38.10502078
75	38.0313167
76	37.94930615
77	37.86955212
78	37.7279075
79	37.64397164
80	37.57276043
81	37.50420612
82	37.32838813
83	37.18243505
84	37.04716002
85	36.94741022
86	36.85161234
87	36.68206965
88	36.61988557
89	36.51810299
90	36.45839651
91	36.31220188
92	36.15193172
93	36.07673599
94	35.98725175
95	35.87648652
96	35.66138781
97	35.54182704
98	35.48722497
99	35.42852729
