iter	Passed	Remaining
0	68	6819
1	89	4387
2	114	3702
3	134	3216
4	165	3142
5	174	2738
6	183	2433
7	187	2153
8	197	1992
9	200	1806
10	204	1653
11	215	1583
12	219	1466
13	228	1402
14	236	1338
15	243	1277
16	254	1240
17	284	1296
18	305	1301
19	316	1266
20	319	1202
21	329	1167
22	332	1113
23	335	1063
24	343	1031
25	347	988
26	351	949
27	357	918
28	368	903
29	378	882
30	381	849
31	384	817
32	394	800
33	397	771
34	400	743
35	407	723
36	419	713
37	428	699
38	432	675
39	438	657
40	447	644
41	458	633
42	467	619
43	480	611
44	483	591
45	493	579
46	496	560
47	499	541
48	508	529
49	514	514
50	523	502
51	530	489
52	538	477
53	545	464
54	553	453
55	579	455
56	592	447
57	598	433
58	605	420
59	615	410
60	627	401
61	630	386
62	636	373
63	644	362
64	647	348
65	659	339
66	664	327
67	674	317
68	681	306
69	691	296
70	704	287
71	711	276
72	720	266
73	727	255
74	736	245
75	743	234
76	760	227
77	768	216
78	780	207
79	799	199
80	812	190
81	824	181
82	834	170
83	845	161
84	856	151
85	864	140
86	877	131
87	891	121
88	900	111
89	911	101
90	924	91
91	935	81
92	945	71
93	957	61
94	973	51
95	984	41
96	995	30
97	1009	20
98	1037	10
99	1044	0
