lyrics,artist
"I was feelin' kinda beat, I decided To hit the streets. I was lookin' For a place for this heart of Mine. Well I said to myself, oh God this must be hell I think I was slowly losin' my mind [Chorus:] Well round and round she goes Where she'll stop nobody knows. Y'know that woman put a spell On me, but if you start me, start Me, start me you can't stop me, Stop me, stop me. When she begins To rock, honey, I begin to roll I was hangin' by the phone, tired Of sleepin' alone Baby tell me where did I go wrong? When Minutes seem like hours and Days seem like weeks, how could A year last so fucking long? [Chorus:] Well round and round she goes Where she'll stop nobody knows. Y'know that woman put a spell On me, but if you start me, start Me, start me you can't stop me, Stop me, stop me. When she begins To rock, honey, I begin to roll I was hangin' with a couple Of chicks, man I was just looking For a place for this raggedy ol' Heart of mine. [Chorus:] Well round and round she goes Where she'll stop nobody knows. Y'know that woman put a spell On me, but if you start me, start Me, start me you can't stop me, Stop me, stop me. When she begins To rock, honey, I begin to roll.",social distortion
"You beat us up when we're alone Come back later and then you're gone Now you're tucked away in your bed And I've got stitches in my head [Chorus:] cause you didn't like my looks cause I'm not in the fashion books admit it, you had some fun, just remember, I'm not the only one You made a show for all your friends But they're not gonna stick around to the end Then you're gonna think, ""Was it really worth it?"" Then your head is rolling in all that shit [Chorus] The justice system is slow it's true So we'll have to take care of you You're only safety is suicide Face it buddy it's the end of the ride [Chorus] Moral Threat",social distortion
[Originally by Pscyhedelic Furs]Caroline laughs and It's raining all day She loves to be one of the girlsShe lives in the place In the side of our lives Where nothing is Ever put straight She turns herself round And she smiles and she says 'This is it' 'That's the end of the joke' And loses herself In her dreaming and sleep And her lovers walk Through in their coatsPretty in pink Isn't she? Pretty in pink Isn't she?All of her lovers All talk of her notes And the flowers That they never sent And wasn't she easy And isn't she Pretty in pink The one who insists He was first in the line Is the last to Remember her name He's walking around In this dress That she wore She is gone But the joke's the samePretty in pink Isn't she? Pretty in pink Isn't she?Caroline talks to you Softly sometimes She says 'I love you' and 'Too much' She doesn't have anything You want to steal Well Nothing you can touch She waves She buttons your shirt The traffic Is waiting outside She hands you this coat She gives you her clothes These cars collidePretty in pink Isn't she? Pretty in pink Isn't she?,social distortion
"Everybody wants a lover Nobody wants to uncover what may lay deep beneath a sometimes painful past wanna go without a care pull Gardenians from her hair I think of a time we didn't have a care in the world capitvated by her beatuy I knew it was my life long duty she had all the grace and charm of a radiant queen [Chorus:] How do you talk without speaking? How do you hear without listening? How do you live without feeling? How do you take without giving? How do you keep it all inside?There are footprints on my ceiling I can't help this fucked up feeling somethings wrong, you ain't coming round her no more try to get my thoughts together I think of a time when things were better this miscommunication is breaking me down[Chorus]Everybody wants a lover Nobody wants to uncover what may lay deep beneath a sometimes painful past my heart is heavy slowly sinking I redirect my depserate thinking And kiss her red full lips like I did the very first time[Chorus]There are footprints on my ceiling And I kept it bottled up inside...all my life.",social distortion
"When the cat's away, the mice will play Beer and drugs and things to say to you, to you Lots of girls and lots of boys Loud music and all the toys we need, We need Chorus: We have to go the neighbors have complained We have to go the walls have all been stained They have to know they cant stop us now They have to know we could burn this town Old men and kids on the run Missing teeth and now the damage is Done, it's all been done Losing battles, losing fights The police would love to take away our Rights, our rights Chorus:",social distortion
"Well High school seemed like such a blur. Well I didn't have much interest in sports or school elections. An in class well I dreamed all day bout a rock and roll weekend. oh, oh, ho.And the girl in front of the room so close yet so far you know she never seemed to notice that this silly school boy crush wasn't just pretend oh, oh, ho. CHORUS Life goes by so fast you only want to do what you think is right close your eyes and then its past the story of my life, story of my life. la, la, la, ha, ha. story of my life.An I went down to my old neighborhood the faces have all changed theres no one left to talk to an the pool hall that I loved as a kid is now a seven-eleven. Oh oh ho.Repeat chorusAn I went downtown to look for a job.  I had no training no experience to speak of an i looked at the holes in my jeans and turned and headed back. Oh oh ho.Repeat chorusand good times come and good times go. I only wish the good times would last a little longer. I think about the good times we had and why they had to end. Oh, oh, ho.So I sit at the edge of my bed well I strummed my guitar and I sing an outlaw love song I think about what you're doin now and when you're comin back. Oh oh ho.Repeat chorusstory of my life, story of my life La, la.da, da, da.  Story of my life.",social distortion
"You say you're down on your luck hey baby, its a long, long way up hold back now, hold back your fears you say you're really down and out and you feel like there's no way out now let go now let go of your tears some more How many times have you asked yourself is this the hand of fate that I've been dealt? you're so disillusioned this can't be real and you can't stand now the way you feelI don't care about what they say I won't live or die that way tired of figuring out things on my own angel's wings wont you carry me home[Chorus:] And when you're down on your luck hey baby, its a long, long way up hold back now, hold back your fears and when you're really down and out and you feel like there's no way out now let go now let go of your tears some more[Repeat Chorus]I triumphed in the face of adversity and I became the man I never thought I'd be and now my biggest challenge, a thing called love I guess I'm not as tough as I thought I wasI don't care about what they say I'm gonna marry you some day go ahead and wake up, its a brand new day Angel's wings gonna carry you away Angel's wings are going to carry me away Angel's wings are going to carry us away",social distortion
"I'm a Cadiallac tramp at the end of his road a swap meet rat who's sitting on gold, yeah baby I'm a guitar ganster without a tune I'm the baseball bat thats waiting to swing Your loan shark friend with the broken knees I'm a penthouse pauper with nothing to do [Chorus:] Yeah, Yeah, Yeah, I'm chasing Nickles and Dimes The rest of the world passes me by Nah, Nah, Nah, Im just wasting my time I'm just sitting here and wondering why?I'm the high rolling creep thats in too deep with the slicked back hair and the silver teeth, yeah baby I'm a vagabond king with a stolen crown I'm a jailhouse poet, a genius, a fool I'm the pimp who lost his cool, yeah baby Ive got first class taste in a second class townI'm a loaded gun that pointed at the mirror A drugstore cowboy whose end is near, yeah baby I'm a big time schemer with broken down dreams I'm a derelict rebel without a ocause I ain't the cat with the sharpest claws, no baby Cause sometimes life just ain't what it seems.[Chorus]And just like you, I'm wondering why.",social distortion
"Well, here I come I'm on a run Who wants to fight temptation, that's no fun C'mon and play the games Don't you feel no shame That's what Eve said to Adam Before she came You can smile now, cry later on You know that it might be wrong, but it feels so good Like you know it would There's damnation and disgrace And guilt rears its ugly face, yet you beg for more Just a little moreStand in line Don't you lose your mind Try like me to seek your pleasure three at a time There's souls for sale You're gonna burn in Hell And if tomorrow never comes It's just as wellYou can smile now cry later on You know That it must be wrong but it feels so good Like you know it would There's damnation and disgrace And guilt rears its ugly face, yet you beg for more Just a little moreUahFeel the pain I feel it too Have your hedonistic ways, got the best of you Playing the games Don't feel no shame That's what Eve said to Adam Before she cameYou can smile now, cry later on You know That it's definitely wrong but it feels so good Like you know it would There's damnation and disgrace And guilt rears its ugly face, yet you beg for more Just a little more Come on and beg for more Just a little more",social distortion
"Nothing she can do, She's so confused Something should be done, But she'll refuse She's got a new fix, to ease her pain She's got a new fix, to control her brain Oh, no no no mainliner, mainliner Out of frustration, she unwraps the foil Takes out her spoon, starts to boil She used to be pretty, To all her friends But the hypodermic needle Took her to the end Oh, no no no mainliner, mainliner She's boiling up, always in heat Stick it in again Just to keep her beat This time she'll try a little more This time we found her on the floor Oh, no no no mainliner, mainliner...",social distortion
