lyrics,artist
I I I I I'm not your stepping stone I I I I I'm not your stepping stoneYou're trying to make your mark in society Using all the tricks that you used on me You're reading all those high fashion magazines The clothes you're wearin' girl are causing public scenesI said I I I I I'm not your stepping stone I I I I I'm not your stepping stone Not your stepping stone Not your stepping stoneWhen I first met you girl you didn't have no shoes Now you're walking 'round like you're front page news You've been awful careful 'bout the friends you choose But you won't find my name in your book of Who's WhoI said I I I I I'm not your stepping stone I I I I I'm not your stepping stone Not your stepping stone Not your stepping stone,sex pistols
fuck you all fuck this world fuck everything that we stand for.Dont give into it all dont exist dont disgrace dont ever judge mei am the voice that makes you move i am the voice that makes you move i am the voice that makes yuo move I AM THE VOICE THAT MAKES YOU MOVE RAAAAAHHHHHHHfuck you all fuck this world fuck everything that we stand for.,sex pistols
"(J. Rotten, S. Vicious, S. Jones, P. Cook)A cheap holiday in other people's misery I don't wanna holiday in the sun I wanna go to the new Belsen I wanna see some history 'cause now t got a reasonable economyOh now I got a reason... and l'm still waiting Now I got a reason to be waiting the Berlin wallIn sensurround sound in a two inch wall well I was waiting for the communist call I didn't ask for sunshine and I got world war three I'm looking over the wall and they're looking at meOh now l got a reason... and I'm still waiting Now I got a reason to be waiting the Berlin wallThey're staring all night and fhey're staring all day. l had no reason to be here at all. But now I got a reason if's no real reason And I'm waiting at Berlin wall I gotta go over fhe Berlin wall. I don't understand it... (etc.)Claostrophobia there's too much paranoia there's too many closets I went in before And now I got a reason it's no real reason to be waiting the Berlin wallI gotta go over the wall, I don't understand this bit at all... (etc.)Please don't be waiting for me.",sex pistols
"Suburban kid, ya got no name Two ton baby and ya got no brain I bet you're only happy in suburbian dreams But I'm only laughing cause you ain't in my schemeHey baby I love you I love you I love youI only ever listen when you're on the phone From your safety where you sit at home When I got nothin' better to do Then there is always you Cause you're good for my shoeHey baby I love you I love you I love youI'm in love Yeah in love Oh, can't you feel it?No I don't like where you come from It's just a satellite of London And when you look me in the eye Just remember that I wanna dieHey baby I love you I love you I love youYou're the name but you can't tell Lookin' like you just came outta hell How did ya figure that'd you'd any use? All you're gonna get is my abuseHey baby I love you I love you I love you I love you",sex pistols
"God save the Queen the fascist regime, they made you a moron a potential H-bomb.God save the Queen she ain't no human being. There is no future in England's dreamingDon't be told what you want Don't be told what you need. There's no future there's no future there's no future for youGod save the Queen we mean it man we love our queen God savesGod save the Queen 'cos tourists are money and our figurehead is not what she seemsOh God save history God save your mad parade Oh Lord God have mercy all crimes are paid.When there's no future how can there be sin we're the flowers in the dustbin we're the poison in your human machine we're the future you're futureGod save the Queen we mean it man we love our queen God savesGod save the Queen we mean it man there is no future in England's dreamingNo future no future for you no fufure for me",sex pistols
"Right! now ha, haI am an anti-Christ I am an anarchist, don't know what I want but I know how to get it. I wanna destroy the passer by 'cos I wanna be anarchy, Ho dogs bodyAnarchy for the UK It's coming sometime and maybe I give a wrong time stop a traffic line. Your future dream is a shopping scheme cause I wanna be anarchy, It's in the cityHow many ways to get what you want I use the best I use the rest I use the enemy. I use anarchy 'cause I wanna be anarchy,Its the only way to beIs this the MPLA or is this the UDA or is this the IRA I thought it was the UK or just another country another council tenancy.I wanna be an anarchist (oh what a name) And l wanna be an anarchist (I get pissed destroy)",sex pistols
"(Jones, Temple, Cook)People said we couldn't play They called us foul-mouthed But the only notes that really count Are the ones that come in wads They all drowned when the air turned blue 'Cos w didn't give a toss Filthy lucre ain't nothing new But we all get cash from chaos The time is right to do it now The greastes rock'n'roll swindle The time is right to do it now EMI said you're out of hand And they gave us the boot But they couldn't sack us just like that Without giving us the loot Thank you kindly A&M They said we were out of bounds But that ain't bad for two weeks work And P75,000 The time is right to do it now The greastes rock'n'roll swindle The time is right to do it now I just wanna play with my hand Are you good enough for me Hiya boys I'm the chosen one Can't you fucking see I'm a jealous god and I want everything And I love you with a knife I'll take you if you are ready for me And I'll give you my life The time is right to do it now The greastes rock'n'roll swindle The time is right to do it now The time is right for Nickey's special The greatest rock'n'roll swindle star The time is right for me now",sex pistols
"It's all I want It's all I need Just some tongue Can satisfy me Don't say u're not ready Because I know you are Stop Being shy You crazy ass whoreChrous: Gimme some tongue You dirty ole' slut I need it now I need it now Just some tongue can make me do you I need it now I need it nowHelp me Oh, god help me I'm spraying all over the floor If you don't tongue me now I'm gonna fuck some other whore It's true what I do If you don't tongue I'll fuck someone else Gimme a blow Or else i'll choke(Chorus)Bridge: Masterbation The key of life If you don't have a girlfriend But you have a wife Do it now Do it hard or else we'll do it Put our finger in our drawers(chorus times 3)",sex pistols
"(J. Rotten, S. Vicious, S. Jones, P. Cook)She was a girl from Birmingham she just had an abortion she was a case of insanity her name was Pauline she lived in a treeShe was a no-one who killed her baby she sent her letters from the country she was an animal she was a bloody disgraceBody I'm not an animal Mummy I'm not an abortionDragged on a table in a factory illegitimate place to be in a packet in a lavatory die little baby screamingBody screaming fucking bloody mess it's not an animal it's an abortionBody I'm not an animal Body I'm not an abortionThrobbing squirm, gurgling bloody mess I'm not a discharge I'm not a loss in protein I'm not a throbbing squirm Ah!Fuck this and fuck that fuck it all and fuck the fucking brat She don't wanna baby that looks like that I don't wanna baby that looks like that.Body I'm not an animal Body i'm not an abortionMummy! Ugh!",sex pistols
"(J. Rotten, G. Matlock, S. Jones, P. Cook)I'm on a submarine mission for you baby I feel the way you were going I picked you up on my TV screen I feel your undercurrent flowing Submission going down down dragging me down Submission I can't tell ya what I've foundYou've pot me pretty deep baby I can't figure out your watery love. I gotta solve your mystery. You're sitfing if out in heaven above.Submission going... (etc.)For there's a mystery. Under the sea... Under a water come (share it)Submissin going... (etc.)Cos it's a secret Under the water... Under the sea (octopus rock)You've got me pretty... (etc.)Submission going... (etc.)A submission A submission falling down down under the sea. I wanna drown drown under the water Going down down under the sea.",sex pistols
