,lyrics,artist,genre
0,"**   he's too straight and you can wait Modern man I've only got time for a few, and not you Modern man I'll push you hard, I can't know you Modern man 'cause then we'd have to be friends, and that just won't do Modern man, modern man*	  living tomorrow is everyone's sorrow Modern man's daydreams have turned into nightmaresIt's for you that I sing to share what I feel Modern man The things I need in this world Modern man If you don't like it, you can leave me alone Modern man, modern man 'cause when I talk to you I want to hang up the phone Modern man, modern man***",black flag,punk
1,Had money in my pocket But he had a gun How was I to know That I was a lucky one? You got me through this time But my time will come When things get wild I'll get out from underneath the gunYou're retired at 21 Your mind is gone Your race is run You're retired at 21 You side with the law And the man with the gunLookin? for a thrill But it just ain't that easy 'cause when you move in for the kill Got to get sleazy The bait'll come off the wild(? ) Before we crawl all over you We've both got power And at(? ) you'll don't know what I'll doMoney money money ?ll buy you food into my brain But your heart can't even breathe 'cause your soul's already claimed Collecting a scrapbook Proud of what you've done No more pushing Retired at 21You're retired at 21 Your mind is gone Your race is run You're retired at 21 You side with the law And the man with the gunCrapshoot crapshoot Don't know what you'll find there Don't want no one To catch you in a dare Your life story is complete The clock has got you beat You look at life Then you turn and retreatYou're retired at 21 Your mind is gone Your race is run You're retired at 21 You side with the law And the man with the gun,black flag,punk
2,I wear rat's shoes I pay rat's dues I make rat's moves I sing rat's bluesI see the world through Rat's eyes [4x] Burning Rat's eyes [4x] Sullen Rat's eyes [4x] Dirty Rat's eyes [4x]If you look through rat's eyes You can talk about shit real good You will be always looking at shit You are verminI see the world through Rat's eyes [4x] Burning Rat's eyes [4x] Sullen Rat's eyes [4x] Dirty Rat's eyes [4x]I see the world through Rat's eyes [4x] Burning Rat's eyes [4x] Sullen Rat's eyes [4x] Dirty Rat's eyes [4x]I want you to touch my filth I want you to feel my filth I want you to look into my eyes I want you to look through my eyesI see the world through Rat's eyes [4x] Burning Rat's eyes [4x] Sullen Rat's eyes [4x] Dirty Rat's eyes [4x],black flag,punk
3,It's not my imagination I've got a gun on my back!Promises you made Never become factWe're gonna get revenge You won't know what hit you We're tired of being screwedDon't tell me about tomorrow Don't tell me what I'll get I can't think of progress when Just around the corner There's a bed of cold pavement Waiting for meRevenge! I'll watch you bleed Revenge! That's all I'll needI won't cry if you- die! DIE! We're gonna get revenge You won't know what hit you We're tired of being screwedRevenge! REVENGE!!!,black flag,punk
4,"(yeah...!) Spinning down the drain again Walls closing in again Curling up inside again No way in out up down or otherwise againI can't move I can't speak I can't shake these troubles off of me I can't move I can't speak And I can't shake these troubles off of meTracking (? )in wrapped up again Shadows Inward, turning inward again Paralyzed and going blind againI can't move I can't speak And I can't shake these troubles off of me I can't move I can't speak And I can't shake these troubles off of meI can't move and I can't speak and I can't shake these troubles off of me I can't move I can't speak And I can't shake these troubles off of meWound up so tight again My soul seeps out it's pores Paralyzed and going blind Paralyzed and going blind againI can't move I can't speak And I can't shake these troubles off of me I can't move I can't speak And I can't shake these feelings off of me(yeah...!)",black flag,punk
5,"I was so wasted I was a hippie I was a burnout I was a dropout I was out of my head I was a surfer I had a skateboard I was so heavy man, I lived on the strand I was so wasted I was so fucked up I was so messed up I was so screwed up I was out of my head I was so jacked up I was so drunk up I was so knocked out, I was out of my head I was so wasted I was wasted.",black flag,punk
6,"This fucking city Is run by pigs They take the rights away From all the kidsUnderstand We're fighting a war we can't win They hate us-we hate them We can't win-no wayWalk down the street I flip them off They hit me across the head With a billy clubUnderstand We're fighting a war We can't win They hate us-we hate them We can't win-no wayNothing I do, nothing I say I tell them to go get fucked They put me awayUnderstand We're fighting a war We can't win They hate us-we hate them We can't win-no wayI go to court, For my crime, Stand in line pay bail, I may serve time Understand We're fighting a war We can't win They hate us-we hate them We can't win-no way",black flag,punk
7,Jealous cowards try to control rise above we're gonna rise above they distort what we say rise above we're gonna rise above try and stop what we do rise above we're gonna rise above when they cant do it them selves rise above we're gonna rise aboveChorus: we are tired of tour abuse try to stop us but its no usesocietys arm's out of control rise above we're gonna rise above think there smart cant think for themselves rise above we're gonna rise above laugh at us behind our backs rise above we're gonna rise above i find satisfaction in what they lack rise above we're gonna rise aboveChoruswe were born with a chance rise above we're gonna rise above i am gonna have my chance rise above we're gonna rise above we were born with a chance rise above we're gonna rise above i am gonna have my chance rise above we're gonna rise abovechorus(guitar solo)chorusrise above we're gonna rise above we're gonna rise above we're gonna rise above we're gonna rise above.,black flag,punk
8,"Keep me alive Only you can do it If not you'll die too And I'll see to itIt's hard to survive Don't know if I can do itKeep me alive I can't accept my fate I need help Before it's too lateIt's hard to survive, don't know if I can do it I need to belong, I need to hang on I need, needKeep me alive feelings I must obey Can't turn my eyes from the past This crisis is the lastKeep me alive I rely on your judgement I've got none left of my own Don't know what I'm doingIt's hard to survive, don't know if I can do it I need to belong, I need to hang on I need, needKeep me alive Only you can do it Keep me alive Only you can do itIt's hard to survive, don't know if I can do itKeep me alive Keep me alive Keep me alive Keep me aliveIt's hard to survive, don't know if I can do it I need to belong, I need to hang on I need, need",black flag,punk
9,"Earth's a padded cell Defanged and declawed I'm living in hell it's a paradise fraud Straight jacket minds in line to be old Telling me to want, Let time slip through my teeth Well I'm not the fool, I'm going to town Manic reactions are always a buzz I'm suspect, the stranger in disguise It's forced itself upon me, Something I can't hideSee it in - maniacs Their eyes - maniacs Maniacs, maniacsLooking at you inside of you Behind your eyes, through your mind Looking at you, inside of you I'm invisible, nowhere to hide I'm obscene the living dead See the flys feed off your head Looking at you I'm inside of you It's walden two but the flower's deadSee it in - maniacs Their eyes - maniacs Maniacs, maniacsEarth's a padded cell Defanged and declawed I'm living in hell it's a paradise fraud Straight jacket minds in line to be old Telling me to want, Let time slip through my teeth Well I'm not the fool, I'm going to town Manic reactions are always a buzz I'm suspect, the stranger in disguise It's forced itself upon me, Something I can't hideSee it in - maniacs Their eyes - maniacs Maniacs, maniacs",black flag,punk
