lyrics,artist
,afghan whigs
"(Dulli)hey, baby there's a vampire moon scaling the sky shine in your room your eyes are open you got nothing to do come outside and play with me tonight follow me down to the bushes dear no one will know we'll disappear i'll hold your hand we'll never tell our private little trip to hell tonight can i walk you home tonight?",afghan whigs
"- Dulli -Hey... Welcome home I got a little wine Some Marvin Gaye Come on and taste me Come on and take me, I'm yours Dance, little sister, dance This is my girl you're talkin' to There isn't anything I wouldn't do So take me... Taste me... Erase me I'm yours... Let's get it onAnything for a lover Anything for a friend I only wanna see you happy Baby can we pretend I'd give anything to see you dance I'd give anything to see you smile But baby doesn't want just anything She wants everythingHey... Welcome home I got a little wine I got a little time So come on and take me Come on and taste me Come on and waste me Come on erase me I'm yours... Let's get it onI got the devil in me, girl",afghan whigs
"- Dulli/McCollum -I knew a girl, extraordinary Suggested something, unsanitary As I asked her for a moment To consider her kind offer She blew a kiss and said to me...I know you know You want it so I want it too, so see it through 'Cuz when I do what I'm gonna do to you Make sure you remember my nameYou know it's true I want it too I know you know, so make it so 'Cuz when I do what I'm gonna do to you You'll never ever, ever...Intoxicated, by your aggression I offer you my one possession You can fuck my body, baby But pleeze, don't fuck my mindGet you high, girl, come with me Take a ride in search of ecstasy I wanna roll with ya, I wanna roll I feel you now, I never knew You were so sad, i'll make it up to you 'Cuz I feel you now I feel you now...",afghan whigs
"(Arlen/Harberg)When a man's an empty kettle He should be on his mettle and yet I'm torn apart Just because I'm presumin' that I could be kind of human If I only had a heart I'd be tender, I'd be gentle and awful sentimental regarding love and art I'd be friends with the arrows and the boy who shoots the sparrows If I only had a heart Picture me a balcony Above a voice sings low ""Wherefore art thou Romeo?"" I hear a beat, how sweetJust to register emotion, jealousy, devotion and really feel the part I could stay young and chipper and I'd lock it with a zipper If I only had a heart A brain, a home, the nerve",afghan whigs
so what YOU make me hard if i was harder now i would crack into a million things things i didn't really need but how i wanted so what a nice dream didn't want to wake up so i kept it dark all the time dark enough so not to see but not as dark as the plans that YOU have for me so what YOU made me smile i had smiled at lesser things before i ever thought of YOU before i thought my soul was mine now i think about me only when i can find the time flowers all around put your lover in the ground flowers everywhere yeah yeah yeah nowhere YOU can be found i have put YOU in the ground nowhere is everywhere for YOU my flower better get myself a drink better get a couple so i can look YOU straight in the face tell YOU that i think of YOU almost as much as YOU think of YOU,afghan whigs
"(Dulli/McCollum)Ladies, let me tell you about myself I got a dick for a brain And my brain is gonna sell my ass to you Now I'm OK, but in time I'll find I'm stuck 'Cause she wants love, and I still want to fuck Now that I'm ashamed, it burns But the weight is off Now that you're out of the way I turn and I can walk You showed no sympathy, my love And this was no place for you and me to walk aloneOn my grave, am I OK? I'm sure I'm not Ladies let me tell you about my love She kept giving me more But it wasn't enough So understand Now that I come to you To understand my little self To understand my little selfAnd baby you be sweet",afghan whigs
honey yer junkie ass is fryin honey why don't YOU stop yer whinin yer barn door opens & YOU don't say black the sidewalk swallows don't YOU step up on the crack hhhhhhoney i know what worth was waiting for YOU got yer white coat mama YOU got yer heart of soul i see some crucifixion behind those two eyeholes gonna take yer white trash home better take yer white trash home i see yer hardon for the black girl keep yer bloody hands off me take me to your white trash party leave me swinging from a tree,afghan whigs
"- Dulli - Uptown again Nobody home Feelin' surrounded Should never left me on my own Remember nothing, hypnotize They say the eyes they never lie Your eyes have failed you dear, deny Deny, deny I know you'll tryBaby, untie me now I'm ready to get down Get down and move around Baby, you cry too much I'm tired of the sound Yer such a babyUptown again Throw me a bone Feelin' surrounded I've never done so well alone",afghan whigs
"(Dulli)My lust it ties me up In chains My skin catches fire at the Mention of your name No matter what I tried 2 do I could not lose itNow I know my heart Is being used But what I'm not allowed to have I never could refuse No matter what I tried 2 do I stood accusedI reply, that I don't believe I'm ever gonna die, I don't Do u?Blame, deny, betray, divide A lie, the truth Which one shall I use? Whatcha gonna do? I know Whatcha gonna do? I know, I know, I knowYour sanctimony Is showing my dear The acrimony Hangs in the air Beware of who u trust In this world Beware the lies about 2 unfurlI reply, that I don't believe I'm ever gonna die, I don't Do u? U were blind But u are not alone in this As I, was once Like u Blame, etc.",afghan whigs
