lyrics,artist
,blonde redhead
"She knows I can't read She knows I can't write But these are the letters from melody Show me how to read Show me how to write These are the things you can do for meWhy did you kill that poor old man, melody Why did you kill that poor old man, melody She said, ?He was never good to me? She said, ?He was never good to me?Tell me how she was dressed that day, my melody Don't show me how she touched her face, my melody She said, ?I would never do it again. Give me another chance.? I said, ?Why didn't you come to me? Why didn't you talk to me??",blonde redhead
"I won't bind my strings to you But build my world besides you Watching you draw a line Some say you are, you are Just like a butterfly Whose broken wings will spread To softly feel your mood Over the blue sky full of you Pink love, pink love, pink love Just like a fairytaleMy only reason naturally Starts to get to me Pushing my way through Mesh of life I want to kiss the sickness of mind My heart without reason Sunken to deep disappointment Spreads over universe With a knife I want to bleed out distress like thisIt's not just a fairytale painted by me It's not just loneliness between you and I If on magic mountain you find you can breath Then stay and don't look back To the blue woven skyStorms of petals are pouring down Pushing their way through our pink love So many polka dots painted by me Spreads over universe for you And I, I want to kiss Pink love, pink love I want to kiss Pink love, pink love In my mind I state myself The clock is ticking without you Some may say illness So called so called love The sickness of mind",blonde redhead
We've come a long way to where the mountain is high I take my cedar to where the mountain is highWhat I need is a peace and quiet What we see is an illusion I have no reason to confuse them I have no reason to confuse my brothersThey have real shotguns They were baby killers But I warned you many times that they will burn down your houseNot today (what can I do) Not today (to make it better)What we need is a persuasion What you give is retaliation I hope one day we meet again I hope one day we love one anotherThey were young soldiers They were old liars But I heard the rumor that they will burn down your houseNot today (what can I do) Not today (to make it better)They will burn down your house They will burn down your house,blonde redhead
"say wrong i won't say anything...anyway fake can be just as goodplace you've never been patience on the way place you've never been no way...anywaywhy then you renew in so many ways how far fake can be no flaw on the way I know I'm just a flaw...anyway so I **** some space...and come backI know good walk away I need to shut away What I throw away I want your wayI know I get away anyway I know it's hard to get ahead, boysay wrong i won't say anything...anyway fake can be just as goodplace you've never been patience on the way place you've never been no way...anywayI know a man is somewhere..where? here I am, shot it againI know you'd walk away I need to shout away What I throw away I want your way",blonde redhead
"Lying on my back, I heard music Felt unsure and catastrophic Had to tell myself it's only music It blows my mind, but it's like thatAnyone there? What could you tell me? Afraid of what? Would you ever know? Everyone else is really boring Anyone else wouldn't be good enoughSome place safe, I would imagine Someone new would be so cruel Incurable paranoiac, hysterical depressionX X X Alex I'm your only friend X X X Alex your love will sing for you (repeat)Some place safe, I would imagine Someone new would be so cruel Incurable paranoiac, hysterical depressionX X X Alex X X X Alex X X X X X Alex X X X Alex your love will sing for you",blonde redhead
this crime for him desire no-one sees it nothing cleans ityou will find a week re- ligion some to see you call you kill you how can I contribute tell me make me I don't want to wan't to loose my mind and suffer 'nother degra- dation tell me why then (x8)Why do you give nothing?! imagine all the love return. (something)This time my face my sky prophet's features childish creatures walk a- round you not you in you still we value the film(?) I make I still want to knowtime a moment and I'll be there to sail on rapid waters but now that I see you in a field of grass I ask you why then (x6)Who is then wounded silent love imagine all the love returns,blonde redhead
"Seeing you on the wall in my room, it's so close to how I want I never found the same as you Listen you in my house on though you're so gentle I try I lie you lieMy friends told me stories of you driving wizards up and down I never seen the same again In vain, like it was yoursfar away, like you never meant to say, I've got to stay I can see a worlds I can see the worlds that belong to youI don't need those words I don't need those words say Sonic Youth...Take me in, in such way take it all until the gracedon't know why don't know why don't know why don't know whySeeing you on the wall in my room, it's so close to how I want I never found... I never found... I never found...",blonde redhead
With a thousand kisses Every moment is all mine come back this timeWith a thousand kisses one at time you brought me crimeEvery minute is mineWith a thousand kisses ---- I'm away you brought me downWith a thousand kisses every second I think of you come back it's fine bring some wine and leave my mind foreverWith a thousand kisses we share I don't care I wish you downWith a thousand kisses every second I think of you come back it's fine bring some wine and leave my mind forever,blonde redhead
??? I never thought you were so greasy I have no idea ... I like you starving I have no idea I never thought you were so greasy I have some good idea ?????I have no idea I never thought you were so greasy I have no half idea You stare...as if you were starving I have no idea I never thought you were so greasy I have some good idea ?????One Eye Long Gone Too Sure Me Sigh Faint,blonde redhead
