lyrics,artist
holding a pickle it reads my mind entrancing crunching sound should i be kind and spare that pickle what kind of love will i findi can't eat alone if he eats you you'll be gone what will i doit's never been this hard the feeling taunts me now just when you means youcome on pick up the phone can't stand to be alone i chewed you up inside i hope you know i triedthey all pointed at me they all know i'm happy they don't like the good things (can't stand to be alone) chewing and waving come on make a new soung (i chewed you up inside) conscience taunting me now what's wrong with liking good things (i hope you know i tried) chewing and waving,dinosaur jr
take a run at the sun when you think of the one brings a cloud to your eye every moment you smile rain lets up for awhile sun starts clearing your skyevery night you cry alone every tear a raindrop and every time you're on your own and you wish the hurt would stop the sun will never hurt you the warmth of rays will hold you and every time you wonder why remember what i told youyou've been waiting for a sign you wouldn't need if you were mine the littlest clouds could feel the sun shinetake a run at the sun when you think of the one brings a cloud to your eye every moment you smile rain lets up for a while sun starts clearing your sky let the rays come inside they'll make everything right let the sun embrace you all the feelings you hide let 'em go with the tide give the moon a place tooyou been hurt the cloud's rolling your heart is close to broken don't want to move you're feeling down catch the rain it's coming 'round the sun would never hurt you the warmth of rays will hold you and every time you wonder why remember what i told youtake a run at the sun when you think of the one brings a cloud to your eye every moment you smile rain lets up for a while sun starts clearing your sky let the rays come inside they'll make everything right let the sun embrace you all the feelings you hide let 'em go with the tide give the moon a place too take a run at the sun take a run at the sun take a run at the sun take a run at the sun,dinosaur jr
"Embarrassed to be alive Sit with my life, open wide Your stare is forcing my face open A leper crumbling, never joking Who should I believeSafest to wallow in my own esteem Afraid, stick my neck out Knowing the day has drawnI'm a leper Scared beyond this feeling I dare to escapeA leper Doomed to this My life is chosen to rapeEmbarrassed to be alive Sit with my life open wide Your stare is forcing my face open A leper crumbling never joking I'm a leper Scared beyond this feeling I dare to escapeA leper Doomed to this My life is chosen to rape[Listen to this solo!]I'm a leper Leper Leper",dinosaur jr
"Eyed it, dried it, untied it. Chilled it, spilled it, refilled it. Paste it, traced it, erased it. She's my Post to Lean on, And I just cut her down. So I'm out to land on somethin' Hopefully a girl will come to me at the ground. Eyed it, dried it, untied it. Chilled it, spilled it, refilled it. Paste it, traced it, erased it. She's my post to lean on, and I just cut her down. So I'm out to land on somethin' Hopefully a girl will come to me at the ground. She's my post to lean on, and I just cut her down. So I'm out to land on somethin' Hopefully a girl will come to me at the ground.",dinosaur jr
"I saw you down across the water You're floating safely in the way you do Then I scrammed before you saw me I've gotta keep thinking you wanted to By the shoreline, will you be fine? Or will it cover you? And when you taste it, will you embrace it? What will you let it do to you? Grab a look across the water We grab a smile and then you're gone a while With you it'd be across the water When I'm losing it I like your style By the shoreline, will you be fine? Or will it cover you? And when you taste it, will you embrace it? What will you let it do to you?Come on, baby Drive me out of mind Mind if I come home, along with you And see what you do This is crazy And nothing more I want to See The sea is not the safest place to sit And be so spacy Scary things across the water You'd never know Till they have their way with you You won't catch me dip in the water However much I want to play with you [Solo] Don't stay in long No one's that strong Enough, not to crumble Whenever the water wants you Don't be so crazed I'm just tryin' to save You from losing everything you've got This is no time to rot Don't be fooled by All the coolness rushing by Don't let it grab your mind Pull out now or you will find All you strive for Nothing, gone, no more You're his servant now",dinosaur jr
No where to collapse the lung Breathes a doubt in everyone No where to collapse the lung Breathes a doubt in everyone No where to collapse the lung Breathes a doubt in everyone No where to collapse the lung Breathes a doubt in everyone,dinosaur jr
"Hey uh (man)? I'm feeling, head up town Yeah you saw, uh, (some of the things/something to think) up town I think i'll, I think I'll hit town You f---face, Get out of my town I don't (really want to know what the f--- you wanted)? ? (you've been, you've been a big f---head, you)? Go on, f--- you, buddy Hey, is that where to go man What's going on tonight You know, I think I'll split Alright, catch you later What (do I need to do)? ? (to get you out of my town, don't you get it)? ? You f---head, you I want you to Get out of my face Go on you f---head, you You goin up town man Yeah, I think i'm, I'm gonna head up there So I'll catch you (later), in about an hour or something Alright, see you later You f---head Get the f--- out of my town Get out of my town (I don't want to know what you want)? ? ? (I don't care if you don't like it)? ? ? You Pffft, this is totally beat man, gotta get out of here (heading/going) out of town There ain't nothin? going on this time (sigh), guess I'll run, blues.*came from andrews page",dinosaur jr
"There never really is a good time There's always nothing much to say Pretty good, not doing that fine Getting up most every day Steppin' out, I tried to fix it Pulled a thumb out of that hole Give me ingredients, I'll mix it How can you move without a goal There never really is a good time There's always nothing much to say Pretty good, not doing that fine Getting up most every day An excuse is all you're in for The abuse is all you crave Sure you know just what is in store Wait and see if I'll behave There never really is a good time There's always nothing much to say Pretty good, not doing that fine Getting up most every day There's a time, just let me know now When it's with you I'll be glad That I was right there just to show you At least it's more than what you had There never really is a good time There never really is a good time There's always nothing much to say Pretty good, not doing that fine Getting up most every day",dinosaur jr
"Less room to face Less time to drive it no place Whatever's cool with me 'Cause I got nothin' happenin' that's cool Just then I catch you under Junk mind I always wonder What it is that gets me about you Those eyes they open wide And I get psyched For them to tear right through I been away since Friday And you don't know the way, yeah I been away since Tuesday And you don't know the way, yeah I been away I been away since Tuesday I'll be the girl you want And when you wanted Me to be for you I fall and fall the window Is it good time to fly And hang a brew And maybe it's too soon Can I keep it together Long enough to say my words to you I been away since Friday And you don't know the way, yeah I been away since Tuesday And you don't know the way, yeah I can't take it back today You wouldn't give it anyway I'm sayin' what I just can't say It's just not the thing to be Can't figure out a way to play It up so that you wanna say Whatever's cool with me I been away I been away since Tuesday I'll be the girl you want And when you wanted Me to be for you But I can't take it back today You wouldn't give it anyway It's just not the thing to be But I don't think to pace my day Or figure out if it's okay Whatever's cool with me I can't take it back today I'm sayin' what I just can't say It's just not the thing to be Can't figure out a way to play It up so that you wanna say Whatever's cool with me",dinosaur jr
"Every night, it's another girl I obsess about my finest dream But I need to feel today, why am I driving you away? Sure not over you So you sit, that's a way to be You don't have to bottom all along But there's things you need to be It all cant come from me Every night we're drifitng farther All the love and life is gotta count for something Gotta all pull it togther Don't wanna blow it together Sit up and feel strange Solitify a change Sure not over you Piece together, how we've come along Float [flowed?] so easily before So it's me that's flakin out Wish I knew what that's about Sure not over you Sure not over you Every night we're drifitng farther Vibes so bad I wanna puke All the love in life has gotta count for somethimg right Gotta all pull it together Don't wanna blow it now Sit up and feel strange Solitify the strange And it's me that's flaking out Wish I knew what that's about There's so much I need to be And it's gotta come from [comfort?] me Sure not over you Sure not over you",dinosaur jr
