lyrics,artist
D. M. S. O. Crypto Wonder Drug In vogue Some people say It cures arthritis Maybe that's why It keeps getting banned It's absorbed Directly through the skin Mix it with lemon juice Touch your fingertips You'll taste the lemon The police Started a riot Down at the courthouse Again Running amok Spilling blood Bashing heads I do my part Behind the lines Swabbing door handles of cop cars With D.M.S.O. Mixed with L.S.D.....,dead kennedys
Mara'Marijuana Mara'Marijuana I like Marijuana You Like Marijuana We Like Marijuana toUp against the wall mother fucker Up against the wall mother fucker Up against the wall Up against the wall Up against the wall mother fuckerThey'll bust your fucking ass if they wanna They'll bust your fucking ass if they wanna They'll bust your fucking ass They'll bust your fucking ass They'll bust your fucking ass if they wannaHeyMara'Marijuana Mara'Marijuana Mara'Marijuana Mara'MarijuanaUp against the wall mother fucker Up against the wall mother fucker Up against the wall Up against the wall Up against the wall mother fuckerI like Marijuana You Like Marijuana We Like Marijuana toI like Marijuana You Like Marijuana We Like Marijuana to,dead kennedys
"You really like gorillas? We've got just the pet for you It's the way you're forced to act To survive our schoolsMake your whole life revolve around sports Walk toughdon't act too smart Be a mean machine Then we'll let you get aheadJock-O-RamaSave my soul We're under the thumb of the Beef Patrol The future of America is in their hands Watch it roll over Niagara FallsPep rally in the holy temple And you're forced to go Masturbate en masse With the favored religious cultCheerleaders yell""Ra Ra Team"" From the locker room parades the prime beef When archaeologists dig this up They'll either laugh or cryJock-O-RamaOn the brain Redneck-a-thon drivin' me insane The future of America is in their hands Watch it roll over Niagara FallsUnzip that old time religion On the almighty football field Beerbellies of all ages Come to watch the gladiators bleed""Now boys, this game ain't played for fun You're going out there to win How d'ya win? Get out there And snap the other guy's knee!""Beat 'em up! Beat 'em up! Ra Ra Ra Snap those spinal cords Ha Ha HaThe star quarterback lies injured Unconscious on the football field Looks like his neck's been broken Seems to happen somewhere every yearHis mom and dad clutch themselves and cry Their favorite son will never walk again Coach says, ""That boy gave a hundred percent What spirit What a man""But who cares? Games overLet's go get wasted man To the 7-11, to the liquor store Let's party all night and party some moreAnother Trans-Am Wrapped itself around a telephone pole ""I ain't drunk, officer I just fell gettin' out of my car""Don't worry about it, son We were that way when we were young You've got all the skills To make a damn good businessmanJock-O-Ramathat's the law Come lick the butts of the Beef Patrol If the future of America is handed to them Watch it roll over Niagara Falls",dead kennedys
Who's that kid in the back of the room Who's that kid in the back of the room He's setting all his papers on fire He's setting all his papers on fireWhere did he get that crazy smile Where did he get that crazy smile We all think he's really weird We all think he's really weird[Chorus] We never talk to him He never looks quite right He laughs at us We just beat him up What he sees escapes our sightWe never see him with the girls We never see him with the girls He's talking to himself again He's talking to himself againWhy doesn't he want tons of friends Why doesn't he want tons of friends Says he's bored when we hang around Says he's bored when we hang around[Chorus]We're all planning our careers We're all planning our careers We're all planning our careers He says we're growing old,dead kennedys
I kill children I love to see them die I kill children And make their mamas cry Crush 'em under my car I wanna hear them scream Feed 'em poison candy To spoil their HalloweenSo your're in the kids' ward You're in there cos you're ill How about some Pavulon So I can see you chillTime to hit the scool bus I think I'll shoot the tires Offer them a helping hand Of open telephone wiresEver wanted to die Of course you have But I won't till I get my revenge I don't wanna see people any moreThings I never ever saw before Make me see them for the shit they are Take as many as I can away with me Anyone can be king for a daySo I kill children I love to see them die I kill children And make their mamas cry I bang their heads in doors I kill children Can hardly wait for yours,dead kennedys
"Well I don't care if it rains or freezes, Long as I got my plastic Jesus, Riding on the dashboard of my car. Through all trials and tribulations, And my travels through the nations, With my plastic Jesus I'll go far.Oh Plastic Jesus, Plastic Jesus, Riding on the dashboard of my car. I'm afraid he'll have to go, His magnets ruin my radio, And if I have a wreck, he'll leave a scar.Riding down a thoroughfare, With his nose up in the air, A wreck may be ahead, but he don't mind. Trouble coming, he don't see, Just keeps his eyes on me, And any other thing that lies behind.Oh, Plastic Jesus, Plastic Jesus, Riding on the dashboard of my car. Though the sun shines on his back, Makes him peel, chip and crack, A little patching keeps him up to par.When pedestrians try to cross, I let them know who's boss, Never blow the horn or give them warning. I ride all over town, Trying to run them down, It's seldom that they live to see the morning.Oh, Plastic Jesus, Plastic Jesus, Riding on the dashboard of my car. His halo fits just right, And I use it for a sight, They'll scatter or they'll splatter, near and far.If I weave around at night, And the police think I'm tight, They'll never find my bottle though they ask. (yes they ask) Plastic Jesus shelters me, For his head comes off you see, He's hollow and I use him for a flask.Plastic Jesus, Plastic Jesus, Riding on the dashboard of my car. (of my car) Ride with me and have a dram, Of the blood of the lamb, Plastic Jesus is a holy bar.Oh, Plastic Jesus, Plastic Jesus, Riding on the dashboard of my car. Once his robe was snowy white Now it isn't quite so bright Stained by the smoke from my cigar. Oh, Plastic Jesus, Plastic Jesus, Riding on the dashboard of my car. I'm afraid he'll have to go, his magnets ruin my radio, And if I have a wreck, he'll leave a scar.",dead kennedys
You look at me from the back of the room All I see is a bumbling buffoon Head down like you don't see much Until you move in to make your bustI spy for you and me I spy for you and meDisguised like you're one of the scene Just stand alone with no real friends Scared people will find out who you are Alone in the world without your telephone beeperI spy for you and me I spy for you and meCurious folks ask questions of life But you can't answer 'cause your heart's like a knife Still you feel you sing the last song sung You're just a heartless piece of scum with a gunI spy for you and me I spy for you and me I spy  I spy I spy,dead kennedys
In a desperate mind Little gardens grow They grow very wide They grow very tallWhy am I alive Urban Wonderland By the fence I stand In and out of handThere are many paths Dripping dark so dense Do not enter here Enter over therePeople closing in Barking at my mind Shoving me to wine I want all aloneI want my own home I want my own girl Help me hate the world Own and love my life,dead kennedys
"You really like gorillas? We've got just the pet for you It's the way you're forced to act To survive our schoolsMake your whole life revolve around sports Walk tough¡ºdon't act too smart Be a mean machine Then we'll let you get aheadJock-o-rama¡ºsave my soul We're under the thumb of the beef patrol The future of america is in their hands Watch it roll over niagara fallsPep rally in the holy temple And you're forced to go Masturbate en masse With the favored religious cultCheerleaders yell¡º""ra ra team"" From the locker room parades the prime beef When archaeologists dig this up They'll either laugh or cryJock-o-rama¡ºon the brain Redneck-a-thon drivin? me insane The future of america is in their hands Watch it roll over niagara fallsUnzip that old time religion On the almighty football field Beerbellies of all ages Come to watch the gladiators bleed""now boys, this game ain't played for fun You're going out there to win How d'ya win? Get out there And snap the other guy's knee!""Beat ?em up! beat ?em up! Ra ra ra Snap those spinal cords Ha ha haThe star quarterback lies injured Unconscious on the football field Looks like his neck's been broken Seems to happen somewhere every yearHis mom and dad clutch themselves and cry Their favorite son will never walk again Coach says, ""that boy gave a hundred percent What spirit What a man""But who cares? Games over¡ºlet's go get wasted man To the 7-11, to the liquor store Let's party all night and party some moreAnother trans-am Wrapped itself around a telephone pole ""i ain't drunk, officer I just fell gettin? out of my car""Don't worry about it, son We were that way when we were young You've got all the skills To make a damn good businessmanJock-o-rama¡ºthat's the law Come lick the butts of the beef patrol If the future of america is handed to them Watch it roll over niagara falls",dead kennedys
Drinkin' beer in the hot sun I fought the law and I wonI needed sex and I got mine I fought the law and I wonThe law don't mean shit if you've got the right friends That's how the country's run Twinkies are the best friend I've ever had I fought the law And I wonI blew George & Harvey's brains out with my six-gun I fought the law and I wonGonna write my book and make a million I fought the law and I wonI'm the new folk hero of the Ku Klux Klan My cop friends think that's fine You can get away with murder if you've got a badge I fought the law And I won I am the law So I won,dead kennedys
