lyrics,artist
,breeders
I'm just looking for Just looking for a way around It disappears this near You're the rod I'm water I'm just looking for the divine hammerOne divine hammer One divine hammerI'm just looking for one divine hammer I'd bang it all day Oh the carpenter goes bang Bang bang I'm just looking for one divine hammerOne divine hammer One divine hammerI'm just looking for a faith Waiting to be followed It disappears this near You're the rod I'm water I'm just looking for one divine hammerOne divine hammer One divine hammer One divine hammer One divine hammer One divine hammer One divine hammer,breeders
"So sad about us So sad about usSad, that the music's stopped now Sad, that we can't go back now Sad, about usSo bad about us So sad about usBad, never meant to break up Bad, suppose we'll never make up Bad, about usApologies mean nothing When the damage is done But you can't switch off my love and You can't switch off the sunSo sad about us So sad about usSad, never meant to break up Sad, suppose we'll never make up Sad, about us",breeders
"Life forced to drive us, Spent the whole trip Tryin' to go my way.Pity for me, tattoo a wow. What a mile! Where are tonight's crimes going?Innocent, I caught a lawman's daughter Who tried turnin' it up to unwind.Between the soles, under the stories, Waiting below - a star-hit clock.If I Offer to drive, Just know where your lifeline's going.",breeders
Ripped off You smoked the Bible Rolled it up Your last breath Hot on my back You get started Try to get somewhere You move so slow You're not even hereDear travellerIt's my death My rhythm My arithmetic I got used to Nobody ridin in the backSorrow blowin through the veins I'm over Houston You're over the night we metDear travellerThe she Scared electricity Where no human Carries a map You say you gotta burn to shine But every prism unwinds A road to ruin And this tickets mineDear traveller,breeders
"Inside legs of corduroy I've been Heard stories of air velveteen Twenty hours later I fill the room With bad sex and bad TVGo, go, go Go, go, goWhen I was a painter I painted you well Too bad I have to die You brought the essentials, perversion appeal And many lovers at one timeGo, go, go Go, go, go On and on, on, onInside legs of corduroy I've been Heard stories of air velveteen Twenty hours later I fill the room With bad sex and bad TVGo, go, go Go, go, go On and on, on, on",breeders
If I saw you now Could I look in your eyes?Do you think of me Like I dream of you?Do you wish you were here Like I wish I was with you?You've loved me before Do you love me now?Does love ever end When two hearts have torn away? Or does it go on And beat strong anyway? You've loved me before Do you love me now?Come back to me right now! C'mon c'mon come back to me right now!C'mon c'mon come back to me right now! C'mon c'mon come on!You've loved me before Do you love me now?You've loved me before Do you love me now?,breeders
"I took off!When will will make no way steal it, Like I found speed on the mic. I can't shut up.We're street illegal. Red hot in ports, swinger.The thoughts of scene a crime, Steal and all race out of my mind. I give up!We reckless op'ed and in a hot import, Now words I'll always say. Since I found speed on the mic, I can't shut up.To girls that love to haunt, the U.S is made To streak her letterman back and forth.",breeders
Down to who knows who just to socialize I'm waiting for my girls when you caught my eyes You got no way to make a man Honey you got to understand I'm your man child Lord of the thighsWell well lordy my God what do we got here You're flashin' 'cross the floor Make it perfectly clear You're the bait and you're the hook Someone to take a look I'm your man child lord of the thighsYou must have come here to find it You've got the look in your eyes Although you really don't mind it I am the lord of your thighs,breeders
"I got an empty case of wip-its No more time on the meter.Daybreak, about face, I think I'm comin' Cross another county line Are we there? Convertible cooking with nitrous, Crackin' in the air. I am the sign of Go.While last nights stars were high, Now they're popping in the sky. And the band is jammin' in.Daybreak, I don't like it. Better tonight, better for you.Buzzing with flourescence, I don't know what it wants from me. If I find the door, I am the son of Go.And the band is movin' in. That's what you get. That's what you get When there's no time left on the meter.You get an empty case of wip-its And a boyfriend with a beeper.",breeders
