User,Movie,Rating
Alexandra,Travellers,3
Pavel,Green Book,5
Alexandra,Dark,4
Kristian,Parasite,5
Kristian,Green Book,5
Alphan,Russian Doll,5
Lena,Hors de prix,5
Krystana,Parasite,5
Pooja,Conjuring,4
Svenja,News of the World,4
Svenja,Parasite,3
Pietro,Django,5
Müfit,Dead Man Walking,3
Alexandra,Dog Ville,4
Krystana,Dog Ville,4
Krystana,Her,4
Alexandra,Her,2
Krystana,Fear and Loathing in Las Vegas,5
Pavel,Blade Runner,2
Pooja,Matrix,5
Murat,Her,5
Bala,Lion,5
Pavel,Matrix,5
Murat,Matrix,3
Kristian,Dog Ville,4
Murat,Platform,5
Pavel,Star Wars: The Rise of Skywalker,3
Svenja,Django,5
Lena,Dog Ville,5
Pietro,Dog Ville,5
Pooja,Dog Ville,4
Alphan,Goodbye Lenin,4
Pavel,Django,4
Pavel,Goodbye Lenin,4
Murat,Goodbye Lenin,5
