lyrics,artist,
,sebadoh,
"Eleven times a scapegoat It's not a hug, but a choke And you're not what I've been missin' I'll be damned before I listen to you Princess of distress, you're a princess of distress Everything you want and nothing that you need But somehow it all just fits in I'd climb your mind just to go wishing I guess there's no use really cuz Cuz there's nothing like a real thing Welling up in my throat I love you, you must know There's not much that needs fixin' I can't quit when I'm addicted I guess there's no use really cuz Cuz there's nothing like a real thing I guess there's no use really cuz Cuz there's nothing like a real thing",sebadoh,
"I arrived with the lie I've forgiven Didn't wanna live on the wrong side of though I couldn't leave, though you made me a victim Standing in the kitchen with the keys in my hand When you ride me with your eyes closed Are you fixed on a picture of a friend? I'm crystal-crossed, I still feel lost But I refuse to be your victim Are you in love with the boy or a drug? Are you high when he bends to hug you? When you're with him are you outta your head? Is he the ghost floatin' over our bed? When you ride me with your eyes closed Are you fixed on a picture of a friend? I'm crystal-crossed, I still feel lost But I refuse to be your victim...again I refuse to be your victim Thinking everything could be a lie And have to wonder if you're with him And when you ride, do you look him in the eye? And when you fuck him, do you look him in the eye? And when you ride, do you look him in the eye?",sebadoh,
"Fatal missy, daring you to kiss me Crystal Gypsy, light my fire Tonight I die to realize, I bury my shit deep inside I suck up all you think and I'm thirsty Convoluted hell run dry Fatal missy, daring you to kiss me Crystal Gypsy, light my fire When it starts to suck and I'm stuck here Carrying me far away I just send a wink to the trustee Check's in the mail, it's time to pay Freeze out, I squeeze out something To stumble out, stumble down It's my kinda highway, really Convoluted hell run dry",sebadoh,
"What's all this commotion? You can break the alarm Restrain, please, don't bite me on the arm Capricorn Rising Diligent, she waits Bright eyes wink Future wife in a mini-skirt Buying me a drink, I abandon every plain Not your Mr. Right Committed like a burglar, arrive in style Nailed a warning sign Oh, when we get into square land, you'll get your little fish (?) Reel that sucker in In this condition, the elixir is zog Concentrated salvation, a region squad The way in my skeptic, blinded by grog A clever decision, never am solved",sebadoh,
"It's time to live inside, but don't complain of need to hide The air is all-expendable and seizing over wind. Wander around the bend While we are trying to begin Vision of lifelong wasted meaning, explaining, please expand upon Clearing out the closets and nothing's what we need to build In the first place you're all right the way you are, the way you are Grabbing all success begins where you thought it would all end Don't complain, just clear away Take off your shades and put them away You're OK (X6) It's OK You're OK",sebadoh,
"I feed on you; you feed on me When we agree, it's good to be bold When you act frightened, I'll make you feel stupid Cuz nothing's more stupid than thinking I'm evil But if you smile then I'll smile, too There's nothing better to do I'm just me-- listen to me A old All-American original You're down in the mind And don't say I don't see You're treating me badly; it's pulling me downmind Can't bring me downmind, sorry-sack downmind You're not an only fully true sad man Though I may seem a flaming total bitch I'm a special friend I'm just me-- listen to me A old All-American original You're not the cool-cool You're just a scared fool Thinking I'm evil & sure of your sickness Sick just to follow; follower gutless Mistaken for goodness And pulling me downmind Down in the mind; you're sick in the soul You're treating me nicely; it's pulling me downmind I'm just me-- listen to me A old All-American original",sebadoh,
"Close the Venetian blind Shut out the light and say goodbye to you Soon I can see right through You're sitting here talking to Real eyes, pools of blue Making what you say the rule You make me dream of broken tools I need the Dramamine To be as crazy as your scene I know it's not a dream Don't know what you're telling me? It's like wasting everything On someone else's dream It's like wasting everything On someone else's dream Seems pretty crazy to me Seems pretty crazy to me Seems pretty crazy to me",sebadoh,
"You give faith to deadly snakes, retain the need for names Now burn your books for me Confusion must end, jarred-up sympathy I've been here, but you won't hear, what have you to say to me? Blood-crazed Vampires wear a straight face The love, hate Expression of your dead weight Oh, go back down and load up what you can't sell And you don't sound the same And there's no one around who cares what you say Oh, I wanna trust you; don't do that to me I'm right here without my fear And all I need to be Can't take a switch-hitting twist in the name game I made a mistake trusting you with what I make Crowd control, assume the role Mr. Pointy-shoes put a pen to your soul Crowd control, assume the role Mr. Pointy-shoes, put a pen to your... Blood-crazed Vampires wear a straight face All the love, hate Expression of your dead weight Dead weight",sebadoh,
"It's what they call switching lanes In the left hand driving in the right hand driving And it all seems the same I can't get enough and you can't set it up A big omission and a thin disguiseoooohhhhhhh And I was hoping for a nice surprise Down on my knees I was saying it and you wouldn't listen and it all can't go on I was getting higher; I was trying hard Oh, drag me down I need it Oh, drag me down Those suspicions are a waste of timeoooohhhhhhh And I was hoping for a nice surprise Feed our trouble well Learn to feel, I can learn to feel I can hate it Oh, drag me down Those suspicions are a waste of timeoooohhhhhhh And I was hoping for a nice surprise",sebadoh,
