lyrics,artist
,sonic youth
"Yr bounce to the ounce makes us wanna pounce Yr just being totally perfect On Larry King you said you were tired Time to put to bed yr competitive edge They say you can't say no to Brahma Now you don't have to try so hard The label says you don't have to wear less clothes It's time to take a bubble bathChorus Hey hey little baby breakdown Button up baby you come undone Hey hey little baby get down Before you fall and hurt someoneYou say you need privacy Broken glass everywhere Maybe you need an emo boy No underwear on the director's chair You are seemingly unconscious Of what yr body is doing Like Miss Monroe yr head don't know Exactly what yr body's doingChorusOn TV you're soft and whispery Delicate like angel food cake They say if you press too hard on it It will squish into a dense ball It will lose its fluffiness That's what you get when you use a box mix Can you get some satisfaction How much are you willing to pay?ChorusWhat's yr gut feeling about the new deal How's the label gonna remake you? How was yr date with Eminem Did he bake you and then forsake you Is innocence gonna still overtake you Like Arthur Doyle they can't fake you Oh Mariah you are endless Like the wind, you feel defenselessChorus",sonic youth
"If I could give you anything I would give you a kick You'd rather have a dollar Than a hug from your sis You really fucked up this time Your old lady's really pissed She's not just laughing She's polishing her fistIf you could give me anything Would you consider a fist? Don't give me yr soul It's caught is an abyssHere's a pack of ciggies Fresh from the wonder lips A dream, a wish, a heart's desires Cinderella is a kissA cold is gonna take you And freeze away your tears Ome a little closer honey You can be so nearMind your heart aside you (?) Really got no sense of time (?) Ninety-nine inside you (?) That I'm scared if you were cryin'If I could give you anything I would give you a kick You'd rather have a dollar Than a hug from your sisA cold is gonna take you And freeze away your tears Come a little closer honey We can be so near",sonic youth
"Lee: ...god, that really sounds incredible. well actually, the reason I'm calling you has to do w/ wharton-tronix Wharton: chuckles L: I'm wondering if you're still interested in recording Sonic Youth, or like doing some work with us there. W: Uh-huh L: At your place, what..um.. basically whats going on right now is, um.. we're sort of biding our time waiting for Neutral to get together to uh, you know, do our album and all this stuff.. W: Right L: And we decided we would like to try and release a quickie single, like as quick as possible, just like 2 or 3 songs.. and um, just do it as inexpensively as possible, and we were thinking about doing it in four-track or something like that. W: Right L: And you know I talked to you about these incredible four-track recordings that you were making and so, um, I was wondering if you were actually still interested in working with us on it and doing it at your place.. and you know, if the whole thing goes well, we could probably give you some cash and stuff if it comes out.. W: Right L: I mean, I'm not really sure what.. what the deal's gonna be, we're probably gonna be trying to do it as.. W: Right, inexpensive.. L: ..you know, completely cheap, yeah, like I think you can get a thousand singles for like around $400 or something like that.. W: Right L: and uh, so we're figuring out if we can afford to pay for a sleeve or just have 'em white or what... W: Fold em yourself (chuckles) L: What? Yeah, well that's.. don't laugh! That's exactly what.. W: Well i did it! L: You did? The Glorious Strangers one? W: Right, the cover cost me $28.. L: For how many? W: (chuckles) I still have boxes of them.. L: No, but I mean how many did $28 buy, a thousand? W: Yeah L: It did!? W: At least.. L: Incredible! W: But I had to fold it all myself L: Yeah but thats okay! Because the place where they sell you the singles wants $200 for like a black and white photo sleeve.. and that's a lot of money! W: Yeah (chuckles) L: You know, I mean if we're trying to do it inexpensively.. W: Right, this is the great inexpensive way. L: Yeah W: And you know, you can off-set.. you could put..do anything on the cover you want, basically L: Right, right W: I just got it.. L: Did you cut them to that proper shape and everything, with the little flaps and all that? W: Well I had it figured out.. L: Uh-huh W: You know when I centered the thing, that there would be flaps on each side and I just figured out how to do it.. and I had it down to like a four-thing procedure... L: Uh-huh W: ...and I got these gluesticks... L: Yeah, they're great! They're really great.. W: And you just go [makes gluestick noise], you know, and now, admittedly, you know, if they don't get sold, they fall apart in the store (chuckles) L: Oh god.. well we're gonna put them inside little plastic bags also I think.. so they don't fall apart.. W: Well you'll find that the plastic bags are expensive. L: Well Thurston said, like $25.. no wait, 25 for a dollar... so that would be like $40 for a thousand, that's not too expensive.. W: That's not too bad.. L: No I thought it was gonna be even more than that.. maybe you could even get them cheaper if you tried to buy a thousand, maybe you could get em for $30 or something like that... but I was really worried about the [tape cuts off]",sonic youth
Here we go to another candle I know All the girls there playin' on a jelly rollTime to take a ride - time to take it in a midnite eye And if you wanna go - get on below Pinking out the day - dreaming out the crazy way Finger on the love - it's all aboveEverywhere it's six-sex-six by luck A satellite wish will make it just enough You'll be making out with a witch in a coffee truckTime to rock the road - and tell the story of the jelly rollin' Dirty boots are on - hi di ho Pinking out the black - dreaming in a crack Satan got her tongue - now it's undoneI got some dirty boots - yeah dirty boots I got some dirty boots - baby Dirty bootsHey!,sonic youth
"Aaaaaaaaaaoooow Whoooow Ha HaRiding down the road it nearly struck me blind You and me are burning in the summertime Let's go find some shady ground Gotta get rid of that king hell throng You and me are burning in the summertime You and me are burning in the summertimeScrape, scrape, scrapin' melted cheese Say I love you, later please You and me are burning in the summertime You and me are burning in the summertimeDark spots floating in front of my eyes Mum said she turned it and squattin' flies You and me are burning in the summertime You and me are burning in the summertimeLast night I dreamed I kissed Neil Young If I was a boy I guess it would be fun You and me are burning in the summertime You and me are burning in the summertimeDon't you know a city where the horses grow? Green malls hanging chillin' crows You and me are burning in the summertime You and me are burning in the summertimeI said it before and I'll say it again: ""I'm so happy we're just friends""",sonic youth
"Describe the touch, no it's the thought It's warm and yellow and has a ruffle It's warm and yellow and... He's so quiet I forgot he's there And I think here I am. ""oh alice, come back he's just a kitten... He's just a kitten"" A thousand leaves for your disguise fall on The sky and looking up from down is a sea to Realize the leaves are falling up and down Up and round. And this is from my heart to you A crazy wind will stir me too and contre de la Sexisme I am with you.",sonic youth
"Coming down Sadie I love it Now now now Death valley 69 You're right you're right you're right I was on the wrong track We're deep in the valley How deep in the gulley And now in the canyon Way out in the yonder She started to holler I didn't wanna I didn't wanna But she started to holler So I had to hit it Hit it, hit it, hit it Deep in the valley In the trunk of an old car I got sand in my mouth And you got sun in yr eyes Blinded And you wanted to get there But I couldn't go faster I couldn't go faster I couldn't go faster So I started to hit it I started to hit it Hit it Hit it",sonic youth
I maintain that Chaos is the future And beyond it is freedom Confusion is next and next after that is the truth You gotta cultivate what you need to need Sonic tooth Sonic tooth Sonic tooth Stick your fingers In your mouth Squeeze your tongue And wrench it out From its ugly fucking cancer Its ugly fucking cancer Root You gotta cultivate what you need to need Sonic tooth Sonic tooth Sonic toothChaos is the future And beyond it is freedom Confusion is next and next after that is the truth You gotta cultivate what you need to need Sonic tooth Sonic tooth Sonic tooth Sonic toothStick your fingers In your mouth Squeeze your tongue And wrench it out From its ugly fucking cancer Its ugly fucking cancer Root You gotta cultivate what you need to need Sonic tooth Sonic tooth Sonic tooth Sonic toothTell nothing but the truth,sonic youth
"1989, the bridge: neil young tribute, caroline records (1374/kar002, us)[thurston] Cars are trucks They got me on the corner But I'm alright Standing proud before the signal When I see the light I feel like more than just a number And I stand by you Or else we just don't see the othersFind some pants ... on the desert (? ) But I'm alright Standing out here in the hot sun When I see the light I feel like more than just a number And I stand by you Or else we just don't see the othersPrecious metal lies ... into the highway... (? ) Days and night Weeks and months and seasons Rolling through me (? )I need you Like .... a heartbeat .... .... .... .... mirror And .... ....",sonic youth
