lyrics,artist
"It's not the right time to be sober Now the idiots have taken over Spreading like a social cancer, is there an answer?Mensa membership conceding Tell me why and how are all the stupid people breeding Watson, it's really elementary The industrial revolution Has flipped a bitch on evolution The benevolent and wise are being thwarted, ostracized, what a bummer The world keeps getting dumber Insensitivity is standard and faith is being fancied over reasonDarwin's rollin over in his coffin The fittest are surviving much less often Now everything seems to be reversing, and it's worsening Someone flopped a steamer in the gene pool Now angry mob mentality's no longer the exception, it's the rule And I'm startin to feel a lot like charlton heston Stranded on a primate planet Apes and orangutans that ran it to the ground With generals and the armies that obeyed them Followers following fables Philosophies that enable them to rule without regardThere's no point for democracy when ignorance is celebrated Political scientists get the same one vote as some Arkansas inbred Majority rule, don't work in mental institutions Sometimes the smallest softest voice carries the grand biggest solutionsWhat are we left with? A nation of God-fearing pregnant nationalists Who feel it's their duty to populate the homeland Pass on traditions How to get ahead religions And prosperity via simpelton cultureThe idiots are takin over",nofx
"Blast oxygen masks, smoke filled cabin Depressurize, don't be afraid, hold onto me We're goin down, but not our loveDeath don't seem so bad, when I'm with you My only love, so close your eyes Kiss me one last time, We're gonna Die, but not our love, not our love",nofx
"I'd rather have a bottle in front of me I'd rather watch 10 hours of T.V. But since I can't I'll think of food I'll think of sex I'll think of music And I'll think of youI'd rather have a cold one by the sea I'd rather have you sitting on top o'me But since I'm here and you're so far away I'll read about Zaphod Beeblebrox As I pass the day, heyI'd rather not spend my whole night driving I'd rather not be on so much caffeine But since you're in bed and I'm sleeping on some floor I'll think of you and I'll wish that I was home",nofx
"Absolute shibari, cold noodles and hot sake The mistress bar in Roppongi is the place For Japanese hardcore, not the kind you’re gonna find at the record store Not the kind designed for the kind heartedDo not pass go, do not get bail Go directly to Osaka Jail Where you get locked or drunk under the tableFor just under 10,000 yen You can visit hell and come back again For the process of hurting and healing Cake and candle wax dessert It’s not fun ‘til someone gets hurt Who’s the next to get hung from the ceilingSo if you want rewards and consequence They got the cool and unusual punishments Get on your knees for Japanese instruction Rope and Cigarette burns, forget about any health concerns This is pure assisted self-destructionKanpai and bottoms up, unhelping hands hogtie you up One bad deed surely deserves another Bruised from bamboo caning Coming home try explaining this to your significant other Good fucking luck…",nofx
"fuck the front door, fuck the back fuck the good girls with the knack fuck the government until they fuck you back fuck a muslim, fuck a jew fuck fans of blink 182 that's illegal if you're born before 83 fuck a bean cheese burrito, fuck a bowl of cookie dough fuck the space between the big and neighbor toe fuck a cop a marine, fucka  jar of vaseline fuck a calazone fuck a midget, fuck a dwarf, fuck santa with an elf, but before you fuck it all...go fuck your self!",nofx
"I never thought about the universe, It made me feel small. Never thought about the problems of this planet at all. Global warming, radioactive sites, Imperialistic wrongs, and animal rights. NO!Why think all the bad things when life is so good? Why help with an end when there's always a could? Let the whales worry about the poisons in the sea, Outside of California, it's foreign policy.I don't want changes, I know reactions Your dillemas are my distractions.That’s no way to go, Franco Un-American No way to go, Franco Un-American No way to go, Franco Un-American No way to go, Franco, Franco Un-AmericanI never looked around, never second-guessed Then I read some Howard Zinn now I'm always depressed And now I can't sleep from years of apathy All because I read a little Noam ChomskyI'm eating vegetation cause a fast food nation I'm wearing a comfortable of shoes cause of globalization I'm watching Michael Moore expose the awful truth I'm listening to Public Enemy and Reagan YouthI see no world peace 'cause they're zealous armed forces I eat no breath-mints 'cause they're from the hooved horses Now I can't believe; what an absolute failure The president's laughing 'cause we voted for NaderThat's no way to go, Franco Un-American No way to go, Franco Un-American No way to go, Franco Un-American Where can we go, Franco Un-American?I want to move north and be a Canadian Or hang down low with the nice Australians I don't want to be another I don't care-ican What are we gonna do Franco, Franco Un-American",nofx
"(This is about all you fuckers) Fuck da kids Fuck da kids Fuck da kids Fuck, ya, ya..Fuck da kids Fuck da kids Fuck da kids Fuck ya ya...Fuck the kids, fuck the kids, fuck the kids.",nofx
"My father used to say You sleep with dogs the next day You'll wake in the bed scratching Those inevitable fleas At ten years old You listen to what you are told But I never felt the itch I never would My mother had forbidden me To waste away my life I want you to have all the things I could never buy you So don't stop what I'd begun You're my one, my only son Follow what I say not what I've done Follow what I say not what I've done Shower, scrub, and shave Cleanly boys don't misbehave Follow what I say not what I've done",nofx
"I'm on the wagon now But she doesn't know I'm getting high on the down low Cuz when I got the new thing I got no place to go Unless I got a bottle in meI'm in a Cadillac I'm starting to stare Who's the guy with the blood in his hair The last thing I remember I was going somewhere And then the stop sign got in the way[cough]I'm laying low in a hospital bed I got a dent, and a crack in the head That's okay cuz i've got no idea what I just said Gotta love the hospital medsI'm getting high on the D.L.",nofx
"Get out of my way, can't you see I'm from L.A. Yeah, I met Slash, I've got a rose tattoo I bet I know way more people than youI just love this town, my girlfriend weights 84 pounds Met her at the Cathouse where I get in for free She pays the rent while I watch T.V.When we go out tonight, gotta get my hair just right Tight black pants and blue suede shoes I'll get my picture in Rock City NewsGotta get those flyers out, might meet a talent scout And he will talk contracts with me My fame and fortune and MTV",nofx
