lyrics,artist
Gabba gabba we accept you we accept you one of us Gabba gabba we accept you we accept you one of usI don't wanna be a pinhead no more. I just met a nurse that i could go for I don't wanna be a pinhead no more. I just met a nurse that i could go forI don't wanna be a pinhead no more. I just met a nurse that i could go for I don't wanna be a pinhead no more. I just met a nurse that i could go forD-U-M-B Everyones accusin me D-U-M-B Everyones accusin meI don't wanna be a pinhead no more. I just met a nurse that i could go for I don't wanna be a pinhead no more. I just met a nurse that i could go forGabba gabba hey Gabba gabba hey (repeats),ramones
"Beat on the brat, beat on the brat, beat on the brat with the baseball bat oh yeah, oh yeah oh oh. Beat on the brat, beat on the brat, beat on the brat with the baseball bat oh yeah, oh yeah oh oh.What can you do, what can you do, with the brat like that always on your back, what can you loose; what can you do, what can you do with the brat like that always on your back what can you loose, loose.Beat on the brat, beat on the brat, beat on the brat with the baseball bat oh yeah, oh yeah, oh oh. Beat on the brat, beat on the brat, beat on the brat with the baseball bat oh yeah, oh yeah, oh oh.What can you do, what can you do, with the brat like that always on your back, what can you loose; what can you do, what can you do with the brat like that always on your back what can you loose.",ramones
Bop 'til you drop Bop 'til you drop Bop 'til you drop Bop 'til you dropNo matter what you just can't stop Bop 'til you drop Bop 'til you dropStick'em up give me your money You act like a big shot but you're really a dummy They want your blood they want every dropBop 'til you drop Bop 'til you drop Hey!You tried and tried but you're a flop You're thirty five still pushing a mop No time to cop do the cretin hop Bop 'til you drop Bop 'til you drop,ramones
Woke up thinking bout you today Why does it have to be this way We drove each other crazy Bye bye babe Bye bye baby Well I guess it's over and it's done We had some good times and we had fun We drove each other crazy I'll always love youBye bye baby Babe bye bye Bye bye baby don't you cry Bye bye baby babe bye bye Bye bye baby don't you cryWoke up thinking bout you today Felt sad and lonely we drove each other crazy I'll always love you babyWell I guess it's over and it's done We had some goof times-we had fun We drove each other crazy I'll always love youCHORUS,ramones
"I used to be on a endless run Believe in miracles 'cause i'm one I've been blessed with the power to survive And after all these years i'm still alive I'm outta here kickin' with the band I'm no longer a solitary man Every day my time runs out Lived like a fool that what i was about oh, oh,And I believe in miracles And I believe in a better world,for me and you oooh, and I believe in miracles And i believe in a better world for me and youTatooed your name on my arm I always said my girl is a good luck charm If she can find a reason to forgive Then i can find a reason to live I used to be on a endless run Believe in miracles 'cause i'm one I've been blessed with the power to survive And after all these years i'm still aliveAnd i believe in miracles And i believe in a better world for me and you And i believe in miracles And i believe in a better world for me and youI close my eyes and it think how It might be The future is here today It's not too late It's not too late no!And I believe in miracles And I believe in a better world for me and you And I believe in miracles And I believe in a better world for me and you All Right!!!",ramones
"Intoxicated by the orchids abandoned in the garden Demanding morphine Curse my soul is burning Stranded in the sweet wonderings breathing the Pale moon silver Torn painted lips tasting the last drops of lifeSometimes I feel like screaming Sometimes I feel I just can't win Sometimes I feelin' my soul is as restless as the wind Maybe I was born to die in BerlinI sprinkled cocaine on the floor when no one was watching I closed My eyes and I let myself sleep Creeps and dirty bastards, demons waitin' by my bed There's no choice or difference, no one seems to noticeSometimes I feel like screamin' Sometimes I feel I just can't win Sometimes I feelin' my soul is as restless as the wind Maybe I was born to die in Berlin(Third verse in German)Sometimes I feel like screamin' Sometimes I feel I just can't win Sometimes I feelin' my soul is as restless as the windMaybe I was born to die in Berlin Maybe I was born to die in Berlin",ramones
"Hey ho, let's go Hey ho, let's go Hey ho, let's go Hey ho, let's go They're forming in straight line They're going through a tight wind The kids are losing their minds The Blitzkrieg Bop They're piling in the back seat They're generating steam heat Pulsating to the back beat The Blitzkrieg Bop Hey ho, let's go Shit'em in the back now What they want, I don't know They're all reved up and ready to go They're forming in straight line They're going through a tight wind The kids are losing their minds The Blitzkrieg Bop They're piling in the back seat They're generating steam heat Pulsating to the back beat The Blitzkrieg Bop Hey ho, let's go Shit'em in the back now What they want, I don't know They're all reved up and ready to go They're forming in straight line They're going through a tight wind The kids are losing their minds The Blitzkrieg Bop They're piling in the back seat They're generating steam heat Pulsating to the back beat The Blitzkrieg Bop Hey ho, let's go Hey ho, let's go Hey ho, let's go Hey ho, let's go",ramones
"Got into a cab, Broadway, 59 Took off like a blast Almost lost my mind - oh, oh, ohCabbies on crackIt first felt like at thrill ride Excited for a while Got pretty scary swerving at 100 miles an hour - oh, oh, ohCabbies on crack I want to get out, out of this yellow shell I want to get out, crack cabbies straight from hellAnd I don't wanna die before I live Cabbies on Cabbies on crackCabbies on crack Want my money back Disco blasting out, Stomach in my mouth - oh, oh, ohCabbies on crackTimes Square was approaching He braked for the light At 90 miles an hour, flashed by, I saw my life - oh, oh, ohCabbies on crack I want to get out, out of this yellow shell I want to get out, crack cabbies straight from hellAnd I don't wanna die before I live Cabbies on Cabbies on crackAnd I don't wanna die before I live Cabbies on Cabbies on crackCabbies on crack",ramones
"You've got to pick up the pieces C'mon, sort your trash You better pull yourself back together Maybe you've got too much cash Better call, call the law When you gonna turn yourself in? Yeah You're a politician Don't become one of Hitler's childrenBonzo goes to bitburg then goes out for a cup of tea As I watched it on TV somehow it really bothered me Drank in all the bars in town for an extended foreign policy Pick up the pieces My brain is hanging upside down I need something to slow me down My brain is hanging upside down I need something to slow me downShouldn't wish you happiness, wish her the very best Fifty thousand dollar dress Shaking hands with your highness See through you like cellophane You watch the world complain, but you do it anyway Who am I, am I to sayBonzo goes to bitburg then goes out for a cup of tea As I watched it on TV somehow it really bothered me Drank in all the bars in town for an extended foreign policy Pick up the piecesMy brain is hanging upside down I need something to slow me down My brain is hanging upside down I need something to slow me downIf there's one thing that makes me sick It's when someone tries to hide behind politics I wish that time could go by fast Somehow they manage to make it lastMy brain is hanging upside down I need something to slow me down My brain is hanging upside down I need something to slow me down My brain is hanging upside down I need something to slow me down My brain is hanging upside down I need something to slow me down",ramones
I used to be an A student I never used to complain I used to be a truant But I'm still the same Bad bad brain Bad bad brainI used to go to parties I used to drink champagne Now I'm beginning to feel the strain Bad bad brainI used to be in show biz I used to have fortune and fame I used to have pleasure and pain I used to have a name Bad bad brainNow I'm on the Bowery I can't remember my name Bad bad brain Bad bad brain Bad bad brain bad bad brain,ramones
