lyrics,artist
,stereolab
"J'ai tres tres peur ca c'est certain, j'ai tres tres peur mais beaucoup moins que tous les gens a cette table de mon bateau ancre profond, naviguer une direction et aller loin.PercolatorI am very very scared, that's for sure I am very very scared but much less than all the people at this table of my deeply anchored boat choose a direction and go there",stereolab
"Dive in, the heart of extremes, All assembled in a style, Extremes reconciled ImprovisationRational and poetical, summing up contradictions Lyrical departure Formal unity All in oneIntimate sensuality Big and cold non places of concrete Art and social action Freedom and control All in oneUtopia and reality, Hand in hand all this way Dedicate to change that it can't bring aboutIt failed but succeeded It failed but succeeded",stereolab
"Chaque art particulier rien n'est jamais donnÃ© des cas particuliers sont Ã¡ dissocier toute chose reste infernal ça ne vient pas du ciel en toute luciditÃ© jamais la solution Je n'ai que des questions (N'est pas du ?""ciel?"")translation Each particular art/talent nothing is ever freely given each particular case has to be disassociated everything remains diabolical it does not come from Heaven in all lucidity never the solution I have nothing but questions (Not from ?""Heaven""?)",stereolab
"Envie de boire et de fumer, Envie de boire, envie d'aimer.Brigitte, brigitte j'ai envie, de vous copier Brigitte, brigitte, brigitte, brigitte vous m'epatez, Indispensable brigitte, vous sentez les choses, Toutes faites de colère, toutes faites de contrôle,Mysterieux et intime savoir, Que le meilleur reste encore à venirIndispensable brigitte, vous sentez les choses, Vous pouvez faire mal, Comme vous savez donner.Brigitte, brigitte j'ai envie, de vous copier Brigitte, brigitte, brigitte, brigitte vous m'epatez,Brigitte, brigitte j'ai envie, de vous copier Brigitte, brigitte, brigitte, brigitte vous m'epatez,Nous ne pourrons jamais combler qu'une infime Partie de la vie des gens Nous ne pourrons jamais combler qu'une infime On a beau dire, tout est question de reflet Folle vous le paraissez très certainement Aux côtés des honnêtes gensNous ne pourrons jamais combler qu'une infime Partie de la vie des gens Nous ne pourrons jamais combler qu'une infime Partie de la vie des gens On a beau dire, tout est question de reflet Folle vous le paraissez très certainement Aux côtés des honnêtes gens",stereolab
"I pick up by the handful The somber heap at my feet Eyes closed to see the hopeful Trusting my deepest instinctI pick up by the handful The somber heap at my feet Eyes closed to see the hopeful Trusting my deepest instinctBut I go on, Dawning light, Task of hope? ? ? Dawning light, Task of hope ? ? ?At last dare to raise my eyes, I saw the ship in the stars Strong of glittering fleet, Bringing light to the new bornI pick up by the handful The somber heap at my feet Eyes closed to see the hopeful Trusting my deepest instinctAt last dare to raise my eyes, I saw the ship in the stars Strong of glittering fleet, Bringing light to the new bornIn a dawn light, Task of hope, These are stars",stereolab
"Let live what must live, die what must die Birth comes with a death, comes with a riseNe retenez pas, rÃ©sistez pas Faites vivre ce qui, ce qui doit vivre Laissez mourir ce qui doit mourirThere are two sides to one's same thing, there are two sides Breathing is like a tide rolls in, then retiresFoster the frank questionsThe plants in my garden, Flourish, seed and perish",stereolab
"c'est l'image qui, vit dans le sang elle enfante eternellement aneantit toute la vie fusion de mondes universelsde l'esprit et du sang de l'esprit et du sanget du sang source de bonheur qui c'est la fougue de la vie where's the father ou'est sa voir? l'autre qu'on aime la fene tre du soi qui mele et qui associe les tendancescours vers la mer te donne une fin et un debut reconnais l'appel eperdude l'esprit et du sang de l'esprit et du sangle rapport a la mort qui c'est la fougue de la viede l'esprit et du sang de l'esprit et du sangBlue Milk It is the image that lives in the blood It gives birth eternally,obliterates all life Fusion of universal worlds >From spirit and blood Source of happiness Yes,it's the spirit of life Where's the father Where is his voice The other that one loves One's window that mingles and joins the sentiments Running toward the sea, Gives you an end and a beginning Recognize the submerged call The connection in death that is the spirit of life.",stereolab
Changer Changer Changer la vie Changer le monde I want to go I lost myselftranslation Change Change Change life Change the world I want to go I lost myself,stereolab
"Now it is the time to say no to the war. Yes, we can stop it before it gets too far. The process is already engendered, Stop it before it does get too far. The ways to pressurise are numerous Often at the threshold of your door. Can't you see the power is limitless It can take us beyond any bounds.",stereolab
"all the women who understand how natural and good it is to bare all clothes and bring the smile of knowledge, try the freedom that comes with itwith a smile, trumpets and drums the desire for meaning comes, with a smile, trumpets and drums the desire for meaning comes, ...roaring inside her woman and anger roaring inside her woman and ireroaring inside her woman and anger roaring inside her woman and ire",stereolab
"We need a shake and therefore demand more than the cold conclusion of reason The only impossible thing is to delimit the impossible The realm of necessity (To restore the confidence) (Is) The triumph of human spirit (Triumph of the will) Everything remains to be done To devestate the ideas of family, famine and religion",stereolab
"hideous on the edge of a precipice Their cavity filled up with forgetfulness we know there's no retribution, only war > Their society overtly ...the meaning of existence can't be supplied by religion or ideology > > >left to all the creativity we must find the real significance that good and fearless defined >their sense or nonsense that will emerge on a precipice it's only the impact of the creative activity",stereolab
